@relation unknow
@attribute 'attribute_1' real [0.0015,0.1371]
@attribute 'attribute_2' real [6.0E-4,0.2339]
@attribute 'attribute_3' real [0.0015,0.3059]
@attribute 'attribute_4' real [0.0058,0.4264]
@attribute 'attribute_5' real [0.0067,0.401]
@attribute 'attribute_6' real [0.0102,0.3823]
@attribute 'attribute_7' real [0.0033,0.3729]
@attribute 'attribute_8' real [0.0055,0.459]
@attribute 'attribute_9' real [0.0075,0.6828]
@attribute 'attribute_10' real [0.0113,0.7106]
@attribute 'attribute_11' real [0.0289,0.7342]
@attribute 'attribute_12' real [0.0236,0.706]
@attribute 'attribute_13' real [0.0184,0.7131]
@attribute 'attribute_14' real [0.0273,0.997]
@attribute 'attribute_15' real [0.0031,1.0]
@attribute 'attribute_16' real [0.0162,0.9988]
@attribute 'attribute_17' real [0.0349,1.0]
@attribute 'attribute_18' real [0.0375,1.0]
@attribute 'attribute_19' real [0.0494,1.0]
@attribute 'attribute_20' real [0.0656,1.0]
@attribute 'attribute_21' real [0.0512,1.0]
@attribute 'attribute_22' real [0.0219,1.0]
@attribute 'attribute_23' real [0.0563,1.0]
@attribute 'attribute_24' real [0.0239,1.0]
@attribute 'attribute_25' real [0.024,1.0]
@attribute 'attribute_26' real [0.0921,1.0]
@attribute 'attribute_27' real [0.0481,1.0]
@attribute 'attribute_28' real [0.0284,1.0]
@attribute 'attribute_29' real [0.0144,1.0]
@attribute 'attribute_30' real [0.0613,1.0]
@attribute 'attribute_31' real [0.0482,0.9657]
@attribute 'attribute_32' real [0.0404,0.9306]
@attribute 'attribute_33' real [0.0477,1.0]
@attribute 'attribute_34' real [0.0212,0.9647]
@attribute 'attribute_35' real [0.0223,1.0]
@attribute 'attribute_36' real [0.0080,1.0]
@attribute 'attribute_37' real [0.0351,0.9497]
@attribute 'attribute_38' real [0.0383,1.0]
@attribute 'attribute_39' real [0.0371,0.9857]
@attribute 'attribute_40' real [0.0117,0.9297]
@attribute 'attribute_41' real [0.036,0.8995]
@attribute 'attribute_42' real [0.0056,0.8246]
@attribute 'attribute_43' real [0.0,0.7733]
@attribute 'attribute_44' real [0.0,0.7762]
@attribute 'attribute_45' real [0.0,0.7034]
@attribute 'attribute_46' real [0.0,0.7292]
@attribute 'attribute_47' real [0.0,0.5522]
@attribute 'attribute_48' real [0.0,0.3339]
@attribute 'attribute_49' real [0.0,0.1981]
@attribute 'attribute_50' real [0.0,0.0825]
@attribute 'attribute_51' real [0.0,0.1004]
@attribute 'attribute_52' real [8.0E-4,0.0709]
@attribute 'attribute_53' real [5.0E-4,0.039]
@attribute 'attribute_54' real [0.0010,0.0352]
@attribute 'attribute_55' real [6.0E-4,0.0447]
@attribute 'attribute_56' real [4.0E-4,0.0394]
@attribute 'attribute_57' real [3.0E-4,0.0355]
@attribute 'attribute_58' real [3.0E-4,0.044]
@attribute 'attribute_59' real [1.0E-4,0.0364]
@attribute 'attribute_60' real [6.0E-4,0.0439]
@attribute 'Class' {Rock,Mine}
@data
0.0317,0.0956,0.1321,0.1408,0.1674,0.171,0.0731,0.1401,0.2083,0.3513,0.1786,0.0658,0.0513,0.3752,0.5419,0.544,0.515,0.4262,0.2024,0.4233,0.7723,0.9735,0.939,0.5559,0.5268,0.6826,0.5713,0.5429,0.2177,0.2149,0.5811,0.6323,0.2965,0.1873,0.2969,0.5163,0.6153,0.4283,0.5479,0.6133,0.5017,0.2377,0.1957,0.1749,0.1304,0.0597,0.1124,0.1047,0.0507,0.0159,0.0195,0.0201,0.0248,0.0131,0.0070,0.0138,0.0092,0.0143,0.0036,0.0103,Rock
0.0039,0.0063,0.0152,0.0336,0.031,0.0284,0.0396,0.0272,0.0323,0.0452,0.0492,0.0996,0.1424,0.1194,0.0628,0.0907,0.1177,0.1429,0.1223,0.1104,0.1847,0.3715,0.4382,0.5707,0.6654,0.7476,0.7654,0.8555,0.972,0.9221,0.7502,0.7209,0.7757,0.6055,0.5021,0.4499,0.3947,0.4281,0.4427,0.3749,0.1972,0.0511,0.0793,0.1269,0.1533,0.069,0.0402,0.0534,0.0228,0.0073,0.0062,0.0062,0.012,0.0052,0.0056,0.0093,0.0042,3.0E-4,0.0053,0.0036,Rock
0.0115,0.015,0.0136,0.0076,0.0211,0.1058,0.1023,0.044,0.0931,0.0734,0.074,0.0622,0.1055,0.1183,0.1721,0.2584,0.3232,0.3817,0.4243,0.4217,0.4449,0.4075,0.3306,0.4012,0.4466,0.5218,0.7552,0.9503,1.0,0.9084,0.8283,0.7571,0.7262,0.6152,0.568,0.5757,0.5324,0.3672,0.1669,0.0866,0.0646,0.1891,0.2683,0.2887,0.2341,0.1668,0.1015,0.1195,0.0704,0.0167,0.0107,0.0091,0.0016,0.0084,0.0064,0.0026,0.0029,0.0037,0.0070,0.0041,Rock
0.0177,0.03,0.0288,0.0394,0.063,0.0526,0.0688,0.0633,0.0624,0.0613,0.168,0.3476,0.4561,0.5188,0.6308,0.7201,0.5153,0.3818,0.2644,0.3345,0.4865,0.6628,0.7389,0.9213,1.0,0.775,0.5593,0.6172,0.8635,0.6592,0.477,0.4983,0.333,0.3076,0.2876,0.2226,0.0794,0.0603,0.1049,0.0606,0.153,0.0983,0.1643,0.1901,0.1107,0.1917,0.1467,0.0392,0.0356,0.027,0.0168,0.0102,0.0122,0.0044,0.0075,0.0124,0.0099,0.0057,0.0032,0.0019,Rock
0.0094,0.0166,0.0398,0.0359,0.0681,0.0706,0.102,0.0893,0.0381,0.1328,0.1303,0.0273,0.0644,0.0712,0.1204,0.0717,0.1224,0.2349,0.3684,0.3918,0.4925,0.8793,0.9606,0.8786,0.6905,0.6937,0.5674,0.654,0.7802,0.7575,0.5836,0.6316,0.8108,0.9039,0.8647,0.6695,0.4027,0.237,0.2685,0.3662,0.3267,0.22,0.2996,0.2205,0.1163,0.0635,0.0465,0.0422,0.0174,0.0172,0.0134,0.0141,0.0191,0.0145,0.0065,0.0129,0.0217,0.0087,0.0077,0.0122,Rock
0.0135,0.0045,0.0051,0.0289,0.0561,0.0929,0.1031,0.0883,0.1596,0.1908,0.1576,0.1112,0.1197,0.1174,0.1415,0.2215,0.2658,0.2713,0.3862,0.5717,0.6797,0.8747,1.0,0.8948,0.842,0.9174,0.9307,0.905,0.8228,0.6986,0.5831,0.4924,0.4563,0.5159,0.567,0.5284,0.5144,0.3742,0.2282,0.1193,0.1088,0.0431,0.107,0.0583,0.0046,0.0473,0.0408,0.029,0.0192,0.0094,0.0025,0.0037,0.0084,0.0102,0.0096,0.0024,0.0037,0.0028,0.0030,0.0030,Rock
0.0086,0.0215,0.0242,0.0445,0.0667,0.0771,0.0499,0.0906,0.1229,0.1185,0.0775,0.1101,0.1042,0.0853,0.0456,0.1304,0.269,0.2947,0.3669,0.4948,0.6275,0.8162,0.9237,0.871,0.8052,0.8756,1.0,0.9858,0.9427,0.8114,0.6987,0.681,0.6591,0.6954,0.729,0.668,0.5917,0.4899,0.3439,0.2366,0.1716,0.1013,0.0766,0.0845,0.026,0.0333,0.0205,0.0309,0.0101,0.0095,0.0047,0.0072,0.0054,0.0022,0.0016,0.0029,0.0058,0.0050,0.0024,0.0030,Rock
0.0195,0.0142,0.0181,0.0406,0.0391,0.0249,0.0892,0.0973,0.084,0.1191,0.1522,0.1322,0.1434,0.1244,0.0653,0.089,0.1226,0.1846,0.388,0.3658,0.2297,0.261,0.4193,0.5848,0.5643,0.5448,0.4772,0.6897,0.9797,1.0,0.9546,0.8835,0.7662,0.6547,0.5447,0.4593,0.4679,0.1987,0.0699,0.1493,0.1713,0.1654,0.26,0.3846,0.3754,0.2414,0.1077,0.0224,0.0155,0.0187,0.0125,0.0028,0.0067,0.012,0.0012,0.0022,0.0058,0.0042,0.0067,0.0012,Rock
0.0274,0.0242,0.0621,0.056,0.1129,0.0973,0.1823,0.1745,0.144,0.1808,0.2366,0.0906,0.1749,0.4012,0.5187,0.7312,0.9062,0.926,0.7434,0.4463,0.5103,0.6952,0.7755,0.8364,0.7283,0.6399,0.5759,0.4146,0.3495,0.4437,0.2665,0.2024,0.1942,0.0765,0.3725,0.5843,0.4827,0.2347,0.0999,0.3244,0.399,0.2975,0.1684,0.1761,0.1683,0.0729,0.119,0.1297,0.0748,0.0067,0.0255,0.0113,0.0108,0.0085,0.0047,0.0074,0.0104,0.0161,0.022,0.0173,Rock
0.0291,0.04,0.0771,0.0809,0.0521,0.1051,0.0145,0.0674,0.1294,0.1146,0.0942,0.0794,0.0252,0.1191,0.1045,0.205,0.1556,0.269,0.3784,0.4024,0.347,0.1395,0.1208,0.2827,0.15,0.2626,0.4468,0.752,0.9036,0.7812,0.4766,0.2483,0.5372,0.6279,0.3647,0.4572,0.6359,0.6474,0.552,0.3253,0.2292,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0237,0.0204,0.0050,0.0137,0.0164,0.0081,0.0139,0.0111,Rock
