@relation unknow
@attribute 'attribute_1' real [0.0015,0.1371]
@attribute 'attribute_2' real [6.0E-4,0.2339]
@attribute 'attribute_3' real [0.0015,0.3059]
@attribute 'attribute_4' real [0.0058,0.4264]
@attribute 'attribute_5' real [0.0067,0.401]
@attribute 'attribute_6' real [0.0102,0.3823]
@attribute 'attribute_7' real [0.0033,0.3729]
@attribute 'attribute_8' real [0.0055,0.459]
@attribute 'attribute_9' real [0.0075,0.6828]
@attribute 'attribute_10' real [0.0113,0.7106]
@attribute 'attribute_11' real [0.0289,0.7342]
@attribute 'attribute_12' real [0.0236,0.706]
@attribute 'attribute_13' real [0.0184,0.7131]
@attribute 'attribute_14' real [0.0273,0.997]
@attribute 'attribute_15' real [0.0031,1.0]
@attribute 'attribute_16' real [0.0162,0.9988]
@attribute 'attribute_17' real [0.0349,1.0]
@attribute 'attribute_18' real [0.0375,1.0]
@attribute 'attribute_19' real [0.0494,1.0]
@attribute 'attribute_20' real [0.0656,1.0]
@attribute 'attribute_21' real [0.0512,1.0]
@attribute 'attribute_22' real [0.0219,1.0]
@attribute 'attribute_23' real [0.0563,1.0]
@attribute 'attribute_24' real [0.0239,1.0]
@attribute 'attribute_25' real [0.024,1.0]
@attribute 'attribute_26' real [0.0921,1.0]
@attribute 'attribute_27' real [0.0481,1.0]
@attribute 'attribute_28' real [0.0284,1.0]
@attribute 'attribute_29' real [0.0144,1.0]
@attribute 'attribute_30' real [0.0613,1.0]
@attribute 'attribute_31' real [0.0482,0.9657]
@attribute 'attribute_32' real [0.0404,0.9306]
@attribute 'attribute_33' real [0.0477,1.0]
@attribute 'attribute_34' real [0.0212,0.9647]
@attribute 'attribute_35' real [0.0223,1.0]
@attribute 'attribute_36' real [0.0080,1.0]
@attribute 'attribute_37' real [0.0351,0.9497]
@attribute 'attribute_38' real [0.0383,1.0]
@attribute 'attribute_39' real [0.0371,0.9857]
@attribute 'attribute_40' real [0.0117,0.9297]
@attribute 'attribute_41' real [0.036,0.8995]
@attribute 'attribute_42' real [0.0056,0.8246]
@attribute 'attribute_43' real [0.0,0.7733]
@attribute 'attribute_44' real [0.0,0.7762]
@attribute 'attribute_45' real [0.0,0.7034]
@attribute 'attribute_46' real [0.0,0.7292]
@attribute 'attribute_47' real [0.0,0.5522]
@attribute 'attribute_48' real [0.0,0.3339]
@attribute 'attribute_49' real [0.0,0.1981]
@attribute 'attribute_50' real [0.0,0.0825]
@attribute 'attribute_51' real [0.0,0.1004]
@attribute 'attribute_52' real [8.0E-4,0.0709]
@attribute 'attribute_53' real [5.0E-4,0.039]
@attribute 'attribute_54' real [0.0010,0.0352]
@attribute 'attribute_55' real [6.0E-4,0.0447]
@attribute 'attribute_56' real [4.0E-4,0.0394]
@attribute 'attribute_57' real [3.0E-4,0.0355]
@attribute 'attribute_58' real [3.0E-4,0.044]
@attribute 'attribute_59' real [1.0E-4,0.0364]
@attribute 'attribute_60' real [6.0E-4,0.0439]
@attribute 'Class' {Rock,Mine}
@data
0.027,0.0092,0.0145,0.0278,0.0412,0.0757,0.1026,0.1138,0.0794,0.152,0.1675,0.137,0.1361,0.1345,0.2144,0.5354,0.683,0.56,0.3093,0.3226,0.443,0.5573,0.5782,0.6173,0.8132,0.9819,0.9823,0.9166,0.7423,0.7736,0.8473,0.7352,0.6671,0.6083,0.6239,0.5972,0.5715,0.5242,0.2924,0.1536,0.2003,0.2031,0.2207,0.1778,0.1353,0.1373,0.0749,0.0472,0.0325,0.0179,0.0045,0.0084,0.0010,0.0018,0.0068,0.0039,0.012,0.0132,0.0070,0.0088,Rock
0.024,0.0218,0.0324,0.0569,0.033,0.0513,0.0897,0.0713,0.0569,0.0389,0.1934,0.2434,0.2906,0.2606,0.3811,0.4997,0.3015,0.3655,0.6791,0.7307,0.5053,0.4441,0.6987,0.8133,0.7781,0.8943,0.8929,0.8913,0.861,0.8063,0.554,0.2446,0.3459,0.1615,0.2467,0.5564,0.4681,0.0979,0.1582,0.0751,0.3321,0.3745,0.2666,0.1078,0.1418,0.1687,0.0738,0.0634,0.0144,0.0226,0.0061,0.0162,0.0146,0.0093,0.0112,0.0094,0.0054,0.0019,0.0066,0.0023,Rock
0.0195,0.0213,0.0058,0.019,0.0319,0.0571,0.1004,0.0668,0.0691,0.0242,0.0728,0.0639,0.3002,0.3854,0.4767,0.4602,0.3175,0.416,0.6428,1.0,0.8631,0.5212,0.3156,0.5952,0.7732,0.6042,0.4375,0.5487,0.472,0.6235,0.3851,0.159,0.3891,0.5294,0.3504,0.448,0.4041,0.5031,0.6475,0.5493,0.3548,0.2028,0.1882,0.0845,0.1315,0.159,0.0562,0.0617,0.0343,0.037,0.0261,0.0157,0.0074,0.0271,0.0203,0.0089,0.0095,0.0095,0.0021,0.0053,Rock
0.019,0.0038,0.0642,0.0452,0.0333,0.069,0.0901,0.1454,0.074,0.0349,0.1459,0.3473,0.3197,0.2823,0.0166,0.0572,0.2164,0.4563,0.3819,0.5627,0.6484,0.7235,0.8242,0.8766,1.0,0.8582,0.6563,0.5087,0.4817,0.453,0.4521,0.4532,0.5385,0.5308,0.5356,0.5271,0.426,0.2436,0.1205,0.3845,0.4107,0.5067,0.4216,0.2479,0.1586,0.1124,0.0651,0.0789,0.0325,0.0070,0.0026,0.0093,0.0118,0.0112,0.0094,0.014,0.0072,0.0022,0.0055,0.0122,Rock
0.0152,0.0102,0.0113,0.0263,0.0097,0.0391,0.0857,0.0915,0.0949,0.1504,0.1911,0.2115,0.2249,0.2573,0.1701,0.2023,0.2538,0.3417,0.4026,0.4553,0.5525,0.5991,0.5854,0.7114,0.95,0.9858,1.0,0.9578,0.8642,0.7128,0.5893,0.4323,0.2897,0.1744,0.077,0.2297,0.2459,0.3101,0.3312,0.222,0.0871,0.2064,0.1808,0.1624,0.112,0.0815,0.1117,0.095,0.0412,0.012,0.0048,0.0049,0.0041,0.0036,0.0013,0.0046,0.0037,0.0011,0.0034,0.0033,Rock
0.0071,0.0103,0.0135,0.0494,0.0253,0.0806,0.0701,0.0738,0.0117,0.0898,0.0289,0.1554,0.1437,0.1035,0.1424,0.1227,0.0892,0.2047,0.0827,0.1524,0.3031,0.1608,0.0667,0.1426,0.0395,0.1653,0.3399,0.4855,0.5206,0.5508,0.6102,0.5989,0.6764,0.8897,1.0,0.9517,0.8459,0.7073,0.6697,0.6326,0.5102,0.4161,0.2816,0.1705,0.1421,0.0971,0.0879,0.0863,0.0355,0.0233,0.0252,0.0043,0.0048,0.0076,0.0124,0.0105,0.0054,0.0032,0.0073,0.0063,Rock
0.0065,0.0122,0.0068,0.0108,0.0217,0.0284,0.0527,0.0575,0.1054,0.1109,0.0937,0.0827,0.092,0.0911,0.1487,0.1666,0.1268,0.1374,0.1095,0.1286,0.2146,0.2889,0.4238,0.6168,0.8167,0.9622,0.828,0.5816,0.4667,0.3539,0.2727,0.141,0.1863,0.2176,0.236,0.1725,0.0589,0.0621,0.1847,0.2452,0.2984,0.3041,0.2275,0.148,0.1102,0.1178,0.0608,0.0333,0.0276,0.01,0.0023,0.0069,0.0025,0.0027,0.0052,0.0036,0.0026,0.0036,6.0E-4,0.0035,Rock
0.0109,0.0093,0.0121,0.0378,0.0679,0.0863,0.1004,0.0664,0.0941,0.1036,0.0972,0.0501,0.1546,0.3404,0.4804,0.657,0.7738,0.7827,0.8152,0.8129,0.8297,0.8535,0.887,0.8894,0.898,0.9667,1.0,0.9134,0.6762,0.4659,0.2895,0.2959,0.1746,0.2112,0.2569,0.2276,0.2149,0.1601,0.0371,0.0117,0.0488,0.0288,0.0597,0.0431,0.0369,0.0025,0.0327,0.0257,0.0182,0.0108,0.0124,0.0077,0.0023,0.0117,0.0053,0.0077,0.0076,0.0056,0.0055,0.0039,Rock
0.0336,0.0294,0.0476,0.0539,0.0794,0.0804,0.1136,0.1228,0.1235,0.0842,0.0357,0.0689,0.1705,0.3257,0.4602,0.6225,0.7327,0.7843,0.7988,0.8261,1.0,0.9814,0.962,0.9601,0.9118,0.9086,0.7931,0.5877,0.3474,0.4235,0.4633,0.341,0.2849,0.2847,0.1742,0.0549,0.1192,0.1154,0.0855,0.1811,0.1264,0.0799,0.0378,0.1268,0.1125,0.0505,0.0949,0.0677,0.0259,0.017,0.0033,0.015,0.0111,0.0032,0.0035,0.0169,0.0137,0.0015,0.0069,0.0051,Rock
0.0365,0.1632,0.1636,0.1421,0.113,0.1306,0.2112,0.2268,0.2992,0.3735,0.3042,0.0387,0.2679,0.5397,0.6204,0.7257,0.835,0.6888,0.445,0.3921,0.5605,0.7545,0.8311,1.0,0.8762,0.7092,0.7009,0.5014,0.3942,0.4456,0.4072,0.0773,0.1423,0.0401,0.3597,0.6847,0.7076,0.3597,0.0612,0.3027,0.3966,0.3868,0.238,0.2059,0.2288,0.1704,0.1587,0.1792,0.1022,0.0151,0.0223,0.011,0.0071,0.0205,0.0164,0.0063,0.0078,0.0094,0.011,0.0068,Rock
