@relation horse-colic
@attribute 'surgery' {yes,no}
@attribute 'Age' {adult,young}
@attribute 'rectal_temperature' real [35.4,40.8]
@attribute 'pulse' real [30,184]
@attribute 'respiratory_rate' real [8,96]
@attribute 'temp_extremities' {normal,warm,cool,cold}
@attribute 'peripheral_pulse' {normal,increased,reduced,absent}
@attribute 'mucous_membranes' {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute 'capillary_refill_time' {'<3','>=3','meaning unknown'}
@attribute 'pain' {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute 'peristalsis' {hypermotile,normal,hypomotile,absent}
@attribute 'abdominal_distension' {none,slight,moderate,severe}
@attribute 'nasogastric_tube' {none,slight,significant}
@attribute 'nasogastric_reflux' {none,'>1l','<1l'}
@attribute 'nasogastric_reflux_PH' real [1,8.5]
@attribute 'rectal_examination' {normal,increased,decreased,absent}
@attribute 'abdomen' {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute 'packed_cell_volume' real [4,75]
@attribute 'total_protein' real [3.3,89]
@attribute 'abdominocentesis_appearance' {clear,cloudy,serosanguinous}
@attribute 'abdomcentesis_total_protein' real [0.1,10.1]
@attribute 'outcome' {lived,died,euthanized}
@attribute 'class' {yes,no}
@data
yes,adult,37.5,60,50,cool,reduced,'normal pink','<3','intermittent mild pain',hypomotile,slight,slight,'>1l',3.5,decreased,'distended small intestine',35,6.5,?,?,died,yes
yes,adult,38.7,34,30,warm,?,'pale pink','<3',depressed,hypomotile,?,?,?,?,?,?,33,69,?,2,euthanized,yes
yes,adult,38.2,64,24,normal,normal,'pale pink','<3','intermittent severe pain',absent,moderate,slight,none,?,absent,'distended small intestine',45,7.5,clear,2,died,yes
no,young,39,150,72,?,?,?,?,?,?,?,?,?,?,?,?,47,8.5,?,0.1,lived,yes
yes,adult,?,100,30,cool,reduced,'pale cyanotic','>=3','continuous severe pain',absent,severe,significant,'<1l',?,absent,'distended small intestine',52,6.6,?,?,lived,yes
?,adult,38,65,40,?,normal,'pale cyanotic','>=3',depressed,?,?,?,?,?,?,'distended large intestine',?,?,?,?,?,yes
yes,young,38,140,68,normal,normal,'normal pink','<3','intermittent mild pain',hypomotile,slight,?,?,?,increased,normal,39,5.3,?,?,lived,yes
yes,adult,36.5,100,24,cool,reduced,'pale pink','<3','intermittent mild pain',hypomotile,moderate,significant,none,?,absent,'distended small intestine',50,6,serosanguinous,3.4,lived,yes
yes,adult,38.3,80,40,?,?,'dark cyanotic','>=3','intermittent severe pain',hypomotile,none,?,'>1l',?,normal,'distended small intestine',67,10.2,cloudy,1,euthanized,yes
yes,adult,38.5,30,18,?,?,?,?,?,?,?,?,?,?,?,?,40,7.7,?,?,lived,yes
yes,adult,37.7,55,28,warm,normal,'bright pink','<3',depressed,hypomotile,moderate,?,'<1l',5,absent,'distended large intestine',?,?,?,?,lived,yes
yes,adult,38,50,36,?,normal,'normal pink','<3','intermittent mild pain',normal,slight,?,?,?,decreased,?,39,6.6,clear,5.3,lived,yes
