
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
24,3,4,2,1,1,2,4,0,1
22,3,4,2,1,1,3,3,0,1
46,1,2,3,1,1,2,1,1,1
27,2,3,2,1,1,3,3,0,1
40,4,4,2,1,1,3,4,0,1
45,3,4,3,1,1,1,4,0,1
37,3,4,4,1,0,2,4,0,1
31,3,4,3,1,0,3,2,0,1
49,1,3,6,1,1,2,4,0,1
42,1,3,9,1,1,3,2,1,1
36,2,4,5,1,1,2,3,0,1
24,4,4,2,1,1,3,3,0,1
31,3,4,2,1,1,3,3,0,1
43,4,4,5,1,1,1,3,0,1
34,4,4,2,1,0,1,4,0,1
35,4,4,2,1,0,2,4,0,1
31,2,2,4,1,1,3,3,0,1
47,2,3,12,1,1,3,1,0,1
23,3,2,0,1,1,2,2,0,1
40,1,1,0,1,1,3,2,0,1
41,1,3,10,1,1,2,3,1,1
35,4,4,3,1,1,1,4,0,1
33,4,4,2,1,1,1,3,0,1
43,4,4,6,1,1,1,3,0,1
20,3,4,0,1,0,2,4,0,1
21,3,4,0,1,1,1,3,0,1
47,4,4,4,1,1,1,4,0,1
31,3,4,2,1,1,1,4,0,1
45,2,2,7,1,1,3,1,1,1
35,3,4,5,1,0,2,2,0,1
26,3,3,3,1,0,2,4,0,1
29,3,4,4,1,1,1,4,0,1
42,3,3,3,1,0,2,4,0,1
28,3,4,0,1,0,1,3,0,1
23,4,4,2,1,0,3,3,0,1
23,4,4,0,0,1,2,4,0,1
37,3,4,0,1,1,3,4,0,1
21,2,4,0,1,1,2,2,0,1
31,4,4,2,1,1,3,2,0,1
25,3,3,1,1,1,3,4,0,1
18,3,2,1,1,1,3,1,0,1
21,1,2,1,1,0,3,4,0,1
25,3,2,1,1,0,3,3,0,1
19,4,4,0,0,1,3,4,0,1
37,2,2,8,1,1,2,3,0,1
32,4,4,3,1,1,1,4,0,1
35,4,4,3,0,1,1,4,0,1
45,3,4,6,1,1,2,4,0,1
48,1,3,5,1,1,3,2,0,1
49,2,4,6,0,1,2,3,0,1
37,4,4,2,1,1,1,4,0,1
20,2,3,3,1,1,3,4,0,1
28,4,4,0,0,1,1,3,0,1
44,2,1,3,1,0,3,2,0,1
46,3,1,5,1,1,3,2,0,1
28,4,4,1,0,1,2,4,0,1
20,3,4,0,1,1,3,3,0,1
39,2,3,10,1,1,3,4,0,1
38,2,4,5,0,1,2,2,0,1
27,3,4,2,1,0,2,2,0,1
28,4,4,1,0,1,1,3,0,1
34,4,4,2,0,1,1,4,0,1
24,2,2,2,1,1,3,4,0,3
21,4,4,1,1,1,2,3,0,3
32,4,4,3,1,1,1,4,0,3
36,2,3,6,1,1,2,4,0,3
47,4,3,4,1,1,1,3,0,3
36,2,2,5,1,1,3,4,0,3
25,3,3,1,1,1,2,1,0,3
23,3,4,1,1,1,2,3,0,3
25,2,2,1,1,1,3,1,0,3
30,3,3,3,1,0,3,2,0,3
28,3,3,3,1,0,2,4,0,3
33,2,4,3,1,1,2,4,0,3
21,3,4,1,1,0,3,4,0,3
23,3,2,2,1,0,3,2,0,3
30,3,3,7,1,1,3,4,0,3
26,4,4,1,1,1,3,3,0,3
40,2,3,5,1,1,3,3,0,3
30,3,4,3,1,1,3,4,0,3
38,4,4,6,1,1,2,4,0,3
25,3,3,3,1,1,3,2,0,3
47,4,4,5,1,1,1,3,0,3
31,4,4,4,1,0,3,4,0,3
41,4,4,8,1,1,1,4,0,3
20,3,3,2,1,1,2,4,0,3
21,4,4,2,1,1,2,3,0,3
37,3,4,5,1,0,2,4,0,3
36,4,4,3,1,1,2,4,0,3
41,4,3,5,1,0,3,4,0,3
33,2,2,7,1,0,2,3,0,3
24,4,4,1,1,1,2,3,0,3
21,4,4,1,0,1,2,4,0,3
24,4,4,1,1,1,1,3,0,3
20,2,3,1,1,1,2,1,0,3
29,4,4,3,1,0,1,4,0,3
36,4,4,4,0,1,1,4,0,3
31,1,1,3,1,1,4,2,1,3
30,3,4,2,1,1,1,2,0,3
28,2,3,3,1,1,3,4,0,3
40,3,4,6,1,1,1,3,0,3
33,4,4,2,1,0,1,4,0,3
40,4,4,4,1,1,1,4,0,3
31,4,4,1,1,1,1,4,0,3
24,3,3,2,1,1,3,3,0,3
37,4,4,3,0,1,3,4,0,3
23,2,3,3,1,1,2,3,0,3
34,4,4,6,1,1,2,2,0,3
27,4,4,4,1,1,3,3,0,3
25,2,3,1,1,1,3,1,0,3
29,2,3,5,1,1,2,4,0,3
22,1,3,2,1,1,3,1,0,3
35,4,4,4,1,1,1,4,0,3
40,4,4,4,1,1,1,3,0,2
45,4,4,3,1,1,1,4,0,2
32,4,4,4,1,1,2,4,0,2
43,3,4,5,1,1,3,2,1,2
39,4,4,3,0,1,1,4,0,2
29,4,3,4,1,0,3,2,0,2
41,4,4,4,0,0,2,4,0,2
49,3,4,4,1,1,3,4,0,2
27,4,4,1,1,0,3,3,0,2
42,3,3,4,1,1,2,4,0,2
48,4,4,6,0,1,2,4,0,2
42,4,4,4,0,0,2,4,0,2
27,4,4,1,0,0,1,4,0,2
22,4,4,1,1,1,1,3,0,2
45,3,3,6,0,1,2,4,0,2
24,4,4,2,1,1,2,4,0,2
44,4,4,5,1,0,1,4,0,2
22,3,3,2,1,1,3,3,0,2
38,4,4,4,0,1,3,4,0,2
35,3,3,6,1,1,2,3,0,2
32,4,4,4,0,0,2,4,0,2
35,2,4,3,0,0,3,4,1,2
24,3,4,5,1,1,1,2,1,2
23,3,3,2,1,0,3,4,0,2
36,4,4,3,1,1,1,4,0,2
35,1,2,9,1,0,3,1,0,2
21,4,4,1,1,1,1,3,0,2
33,4,4,5,1,1,2,4,0,2
40,4,4,3,1,1,1,4,0,2
33,3,4,3,0,1,2,4,0,2
31,4,4,3,0,0,4,4,0,2
21,4,4,1,1,1,1,4,0,2
22,4,4,1,1,1,1,2,0,2
47,4,4,1,1,0,1,3,0,1
19,4,4,2,1,1,1,4,0,3
