
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
41,2,4,1,1,1,2,3,0,1
34,4,3,0,0,0,3,3,0,1
48,3,4,8,1,1,3,3,0,1
36,3,3,3,0,0,2,3,1,1
30,4,4,4,1,1,2,4,0,1
30,4,4,3,1,0,2,4,0,1
32,2,4,2,1,1,3,3,0,1
42,4,4,3,1,1,1,4,0,1
30,4,4,0,0,0,3,3,0,1
32,2,4,4,1,1,3,2,0,1
42,3,3,5,1,1,2,2,0,1
45,1,4,5,1,1,1,2,1,1
25,1,3,1,1,1,4,2,0,1
45,1,3,7,1,0,1,3,0,1
44,3,4,2,1,1,1,4,1,1
32,3,2,4,1,1,2,2,1,1
35,3,4,1,0,1,2,3,0,1
20,2,3,1,1,1,3,4,0,1
31,3,4,2,1,1,1,2,1,1
49,1,2,8,1,1,3,1,1,1
47,3,2,5,1,1,4,4,0,1
26,4,4,0,1,0,1,4,0,1
22,1,2,0,1,1,2,4,0,1
21,3,4,0,1,0,3,1,0,1
34,1,3,4,1,0,3,4,0,1
25,2,2,3,1,1,3,3,0,1
43,3,4,2,0,1,3,4,0,1
47,2,4,2,1,1,3,2,1,1
32,1,2,4,1,1,3,2,1,1
42,1,3,12,1,1,3,3,0,1
47,1,4,8,1,1,3,3,0,1
29,3,4,2,1,1,3,4,0,1
21,2,2,1,1,1,3,2,0,1
39,3,1,1,1,1,2,3,0,1
41,2,3,1,1,0,2,3,0,1
30,3,3,5,1,0,3,4,0,1
36,1,4,1,1,1,3,3,0,1
29,3,4,2,1,1,1,3,0,1
22,4,4,0,1,1,2,4,0,1
24,3,4,0,1,0,3,1,0,1
36,2,3,5,1,1,2,3,0,1
26,2,4,0,1,1,3,1,0,1
45,3,4,0,1,1,1,3,0,1
33,2,3,2,1,1,3,2,0,1
27,3,4,0,1,1,3,3,0,1
46,4,4,6,1,1,1,4,0,1
37,4,4,1,1,1,1,4,0,1
28,3,4,3,1,1,2,1,0,1
23,3,4,4,1,1,3,1,1,1
16,3,4,1,1,1,3,3,0,1
19,4,4,0,1,1,3,3,0,1
45,2,3,6,1,1,3,2,1,1
23,1,1,3,1,1,2,1,1,1
33,2,3,1,1,1,3,4,0,1
22,2,2,1,1,1,3,1,1,1
43,4,4,5,1,0,1,4,0,1
33,4,4,3,1,1,1,4,0,1
47,1,2,2,1,1,2,4,0,1
30,4,4,2,1,1,1,4,0,1
23,4,4,1,1,0,3,3,0,1
28,3,4,0,1,1,3,2,0,1
28,4,4,3,0,0,1,4,0,1
23,3,2,1,1,1,3,3,0,3
34,4,4,3,1,1,1,4,0,3
25,3,3,3,1,1,2,1,0,3
25,2,4,3,1,1,3,3,0,3
35,3,4,5,1,1,1,4,0,3
34,4,4,2,1,1,3,3,0,3
17,3,4,1,1,1,2,1,0,3
34,4,4,2,1,1,1,4,0,3
34,2,3,3,0,1,3,2,1,3
22,3,3,1,1,1,3,2,0,3
33,4,4,2,1,1,2,4,0,3
30,2,3,7,1,1,3,3,0,3
30,2,3,5,1,0,3,4,0,3
30,4,4,2,0,0,3,3,0,3
33,3,4,6,1,1,3,2,0,3
31,4,4,3,1,1,1,4,0,3
29,3,4,3,1,1,3,2,0,3
21,4,4,2,1,1,3,3,0,3
28,4,4,3,0,0,3,4,0,3
33,3,4,8,1,1,3,4,0,3
34,3,4,4,1,1,1,3,0,3
20,4,4,2,1,1,1,3,0,3
26,2,4,3,1,1,3,4,0,3
45,1,3,3,1,1,3,2,0,3
32,2,4,5,1,1,3,4,0,3
36,3,4,9,1,1,3,4,0,3
39,4,4,2,0,1,3,4,0,3
22,1,2,2,1,1,3,4,0,3
35,4,4,1,0,1,1,4,0,3
25,3,3,2,1,1,2,3,0,3
29,2,3,3,1,1,3,3,0,3
41,1,4,5,1,0,2,4,0,3
37,3,4,4,0,1,2,4,0,3
24,4,4,1,1,1,1,3,0,3
22,3,4,2,0,1,3,4,0,3
30,3,3,3,1,1,3,1,0,3
27,3,3,1,1,0,3,3,0,3
40,4,4,2,0,0,1,4,0,3
21,3,3,1,1,1,2,2,0,3
35,1,2,6,1,1,2,2,1,3
26,3,4,3,1,1,3,2,0,3
26,4,4,4,1,1,3,4,0,3
35,4,4,3,0,1,3,4,0,3
21,3,3,1,1,1,3,3,0,3
29,3,3,3,1,1,2,1,0,3
25,3,4,2,1,0,2,4,0,3
31,3,3,3,1,1,2,1,1,3
33,3,4,4,1,0,2,4,0,3
34,2,4,4,1,1,3,3,0,3
39,4,3,1,1,0,2,2,0,3
28,3,3,2,0,1,2,3,0,3
33,4,4,3,1,1,3,3,0,2
37,3,4,3,1,1,1,3,0,2
39,4,4,3,0,1,2,4,0,2
32,2,1,5,1,0,2,2,0,2
44,4,4,4,1,0,2,3,0,2
38,4,4,4,1,1,2,4,0,2
32,3,3,4,1,0,3,3,0,2
