
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
42,3,3,10,1,1,3,3,0,1
37,2,3,5,1,0,3,2,0,1
44,1,2,2,1,1,3,1,0,1
48,1,2,8,1,1,3,1,0,1
26,4,3,4,1,1,2,3,0,1
48,4,4,5,1,1,1,4,0,1
30,2,3,3,1,1,3,1,0,1
27,2,4,1,1,0,1,3,0,1
24,4,4,1,1,1,3,3,0,1
22,4,4,0,1,1,1,1,0,1
29,4,4,0,1,0,2,4,0,1
39,3,4,6,1,1,1,4,0,1
26,3,4,1,0,1,2,2,0,1
23,3,3,2,1,1,2,2,0,1
42,3,2,9,1,1,3,3,0,1
27,3,4,0,1,1,3,3,0,1
42,3,4,10,1,0,3,2,0,1
20,2,3,3,1,1,3,4,0,1
38,3,3,4,0,0,3,2,1,1
46,1,2,8,1,1,3,3,1,1
22,3,3,0,1,1,2,2,0,1
25,2,3,0,1,1,2,4,0,1
36,2,4,2,1,0,2,4,0,1
37,3,4,1,1,1,2,4,0,1
39,2,2,5,1,0,3,2,1,1
49,3,4,9,1,1,1,4,0,1
22,4,4,0,1,1,1,3,0,1
38,2,2,1,1,0,3,2,0,1
38,3,4,2,1,1,2,3,0,1
47,1,2,3,1,1,1,3,0,1
27,2,3,5,1,1,2,1,0,1
19,2,2,0,1,1,2,2,0,1
34,2,2,9,1,0,2,3,0,1
48,3,4,11,1,1,1,4,0,1
22,4,4,0,1,1,1,4,0,1
49,3,4,6,1,1,1,4,0,1
46,2,4,6,1,1,1,4,0,1
28,4,4,5,1,1,2,1,0,1
37,3,4,7,1,1,2,1,0,1
29,1,2,7,1,1,2,4,0,1
47,2,3,5,1,1,1,1,0,1
38,1,2,1,1,1,2,4,1,1
42,1,4,11,0,1,2,2,1,1
24,4,4,1,1,0,1,3,0,1
27,3,3,4,1,1,2,4,0,1
49,4,4,6,1,1,1,2,0,1
34,4,4,4,1,1,2,3,0,1
26,3,4,2,1,1,3,3,0,1
44,4,2,8,1,1,3,3,0,1
28,3,4,1,0,1,2,2,0,1
25,4,4,0,1,0,2,4,0,1
29,4,2,0,1,0,2,2,0,1
27,2,2,1,1,0,3,2,1,1
28,4,4,3,0,1,1,4,0,1
37,2,3,5,0,0,2,4,0,1
20,4,4,1,1,1,1,4,0,1
40,1,2,6,1,1,3,1,1,1
35,2,2,6,1,0,3,1,1,1
37,2,3,4,1,1,2,3,0,1
24,2,2,3,1,0,2,1,0,1
47,1,2,2,1,1,2,4,0,1
30,4,4,2,1,1,1,4,0,1
38,4,3,9,1,1,3,3,0,3
23,4,4,2,1,0,2,4,0,3
39,3,4,2,1,1,1,3,0,3
35,4,4,2,1,0,1,4,0,3
25,2,3,2,1,1,2,4,0,3
44,4,4,8,1,1,2,4,0,3
29,3,3,1,0,0,2,4,0,3
35,4,4,2,1,1,2,4,0,3
38,3,4,7,1,1,3,2,0,3
33,2,2,2,1,1,3,4,0,3
