
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
28,3,4,1,1,1,3,1,1,1
31,3,4,2,1,1,1,4,0,1
17,2,2,3,1,1,3,1,0,1
42,4,4,1,1,1,2,4,0,1
47,4,4,4,1,1,1,4,0,1
42,2,3,2,1,1,1,4,0,1
49,3,4,5,1,1,1,4,0,1
35,3,4,6,1,0,2,2,0,1
47,1,2,7,1,0,3,2,0,1
45,4,4,1,1,1,1,4,0,1
33,4,4,3,0,0,1,3,0,1
35,2,3,0,1,1,2,4,0,1
38,3,4,2,0,1,2,4,0,1
36,2,3,4,1,1,3,1,1,1
24,2,4,2,1,1,3,4,0,1
22,2,1,0,1,1,2,2,0,1
36,1,4,2,1,1,2,2,0,1
28,2,2,1,1,1,2,4,0,1
45,1,2,6,1,1,3,3,1,1
24,2,4,1,1,0,4,4,0,1
30,4,4,0,1,0,1,4,0,1
38,2,4,5,1,1,3,3,0,1
38,1,2,8,1,1,3,3,1,1
25,3,4,0,1,1,1,3,0,1
27,4,4,2,1,0,1,4,0,1
22,4,4,0,1,0,2,4,0,1
19,2,3,0,1,0,2,2,0,1
42,3,2,1,1,1,3,3,0,1
29,3,3,3,1,0,2,4,0,1
45,4,4,1,1,1,1,3,0,1
39,1,1,5,1,0,3,1,1,1
22,2,3,2,1,1,3,1,0,1
47,1,1,6,1,0,3,1,0,1
27,1,2,4,1,1,3,1,1,1
25,3,3,1,1,1,2,2,0,1
47,1,2,4,1,1,2,2,0,1
33,1,2,0,1,0,3,3,0,1
32,3,4,1,0,1,2,4,0,1
35,2,3,8,1,1,3,3,1,1
26,4,4,1,1,0,1,4,0,1
40,3,3,4,1,1,2,2,0,1
41,1,3,3,1,0,2,4,0,1
25,4,4,3,1,1,1,2,0,1
40,3,3,1,0,1,3,4,0,1
29,3,2,0,1,1,2,2,0,1
26,4,4,0,1,1,3,4,0,1
48,4,4,1,0,1,1,4,0,1
31,2,4,5,1,1,3,2,0,1
41,3,2,11,1,1,2,3,0,1
40,3,3,3,1,1,3,2,0,1
33,4,4,2,1,1,1,4,0,1
47,1,2,2,1,0,1,3,0,1
22,3,3,2,1,1,2,4,0,1
27,2,4,4,1,1,1,4,0,1
23,2,4,4,1,1,3,3,0,1
46,4,4,10,1,1,1,3,0,1
26,4,4,3,1,1,1,4,0,1
29,4,4,0,1,0,1,4,0,1
42,2,2,3,1,1,3,4,0,1
49,2,3,4,1,1,2,3,0,1
30,4,2,0,1,0,3,3,0,1
25,1,4,2,1,0,3,3,1,1
26,4,4,2,1,0,1,4,0,3
20,4,3,1,1,1,3,4,0,3
27,4,4,2,1,1,1,4,0,3
29,3,3,6,1,1,3,3,0,3
25,4,4,3,1,1,3,3,0,3
25,1,2,2,1,1,2,1,0,3
47,4,4,5,1,1,3,2,0,3
27,4,4,3,1,1,3,4,1,3
27,4,4,1,0,0,1,3,0,3
28,4,4,5,1,1,2,4,0,3
38,4,4,3,0,0,3,3,1,3
29,3,3,2,1,1,3,2,0,3
33,4,4,2,1,0,2,4,0,3
26,4,4,1,0,0,2,4,0,3
37,3,3,6,1,1,3,3,0,3
24,1,2,3,1,1,3,2,0,3
21,4,4,1,1,1,3,1,0,3
29,3,3,4,1,1,3,4,0,3
17,2,2,1,1,1,3,2,0,3
33,3,3,4,1,0,2,2,0,3
27,2,4,1,1,1,3,3,0,3
36,2,3,7,1,1,3,3,0,3
22,3,4,1,0,0,1,4,0,3
38,3,3,2,0,1,3,4,0,3
32,2,3,5,1,0,2,3,0,3
26,3,3,3,1,1,3,3,0,3
32,2,4,3,1,1,3,4,0,3
28,2,2,5,1,0,2,4,0,3
29,1,4,3,1,1,4,4,1,3
26,3,4,4,1,1,2,3,0,3
35,1,2,4,1,0,4,4,0,3
32,4,4,2,0,0,1,4,0,3
33,4,4,5,1,1,1,4,0,3
33,2,3,7,1,0,3,1,0,3
27,2,4,4,1,1,3,4,0,3
33,3,3,8,1,1,3,4,0,3
29,1,2,5,1,0,1,2,0,3
34,3,3,6,1,1,1,4,0,3
22,4,4,1,1,1,3,3,0,3
22,2,4,1,1,1,3,3,0,3
26,4,4,2,1,1,3,3,0,3
27,2,2,5,1,1,3,1,0,3
45,2,3,3,0,0,2,4,0,3
18,3,3,1,1,1,2,2,0,3
35,3,2,9,1,0,3,4,0,3
20,3,4,1,0,1,2,4,0,3
21,2,1,3,1,0,3,1,1,3
30,4,4,2,1,0,2,2,0,3
27,2,2,3,1,1,2,2,1,3
26,3,3,2,1,0,2,2,0,3
34,2,4,7,1,1,2,3,0,3
42,2,4,8,1,1,1,4,0,2
41,4,4,5,0,1,2,4,0,2
25,4,4,2,0,1,1,3,0,2
26,2,4,2,1,1,1,3,0,2
35,4,4,5,0,0,1,4,0,2
39,4,4,5,1,1,2,4,0,2
35,4,4,5,1,0,1,4,0,2
35,3,4,5,1,0,1,3,1,2
38,4,4,3,1,0,1,4,0,2
23,3,1,1,1,0,3,3,0,2
47,2,2,7,1,1,2,4,0,2
31,3,4,4,1,1,1,3,0,2
27,3,3,1,1,0,3,4,0,2
39,4,4,3,0,0,1,4,0,2
33,4,4,3,1,1,3,4,0,2
36,3,4,3,0,0,3,4,0,2
35,2,2,6,1,1,3,4,0,2
36,4,4,4,0,1,1,4,0,2
41,4,4,6,1,1,1,4,0,2
41,3,4,3,0,1,2,4,0,2
25,3,1,4,1,1,3,1,0,2
39,4,4,5,1,1,1,4,0,2
28,4,4,4,1,1,1,3,0,2
39,4,4,3,1,1,1,4,0,2
24,4,4,1,1,0,1,4,0,2
22,4,4,1,1,1,1,3,0,2
26,4,4,2,0,1,1,4,0,2
33,3,4,2,1,1,1,4,0,2
32,4,4,2,1,1,1,4,0,2
27,3,3,2,1,1,3,4,0,2
39,4,4,4,1,0,1,4,0,2
34,4,4,6,1,1,3,4,0,2
35,1,3,7,1,0,2,3,1,2
