@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.0915098,0.108109,0.0885486,0.10617,0.0852293,0.0884979,0.0847094,0.0919146,0.0931821,0.101697,0.100658,0.100685,0.0877729,0.247363,0.0796702,0.132461,0.108194,0.0717345,0.0882139,0.0846544,0.0902319,0
0.00450998,0.0134854,0.00893684,0.00434334,0.00542042,0.00163203,0.00470479,0.0016041,0.00415446,0.00732692,0.00671343,0.00671106,0.0218818,0.170777,0.0155572,0.0201514,0.0147879,0,0.0216629,0.00501376,0.0015095,0
0.0153909,0.020712,0.0271485,0.0160146,0.0339117,0.0399418,0.0329366,0.0394835,0.0201129,0.0190158,0.0207129,0.0207107,0.0245841,0.100518,0.025518,0.0377275,0.0215112,0.0161863,0.0248394,0.0333313,0.039737,0
0.737871,0.359105,0.630298,0.399564,0.44292,0.314035,0.45258,0.325779,0.449285,0.502779,0.489574,0.489669,0.101881,0.102139,0.364273,0.207673,0.341791,0.648625,0.105433,0.447713,0.321032,0
0.0376465,0.0267772,0.0522943,0.0334064,0.048133,0.0468224,0.0472731,0.0463744,0.046759,0.041038,0.0430003,0.0430109,0.0105636,0.0416924,0.0327329,0.0245078,0.0245538,0.101646,0.011005,0.0476392,0.0465859,0
0.057253,0.0732502,0.0700303,0.0404442,0.0352366,0.0419882,0.0358459,0.0432464,0.0602498,0.0517955,0.055616,0.0556264,0.0599424,0.408563,0.00895424,0.0727939,0.0742504,0.0324677,0.0597292,0.0354987,0.0426612,0
1,0.877583,1,1,0.864008,0.691178,0.874107,0.727851,1,1,1,1,0.49807,0.249678,0.569013,0.887712,0.855262,1,0.505103,0.867804,0.711549,0
0.197898,0.142516,0.241057,0.179694,0.287868,0.188233,0.285729,0.187067,0.229725,0.192844,0.20616,0.206162,0.0739278,0.0518804,0.155395,0.184245,0.132977,0.348139,0.0774692,0.286389,0.187649,0
0.0784451,0.107254,0.180883,0.15963,0.231286,0.450094,0.226672,0.445981,0.181118,0.156923,0.165927,0.165934,0.0989682,0.0283022,0.191018,0.201757,0.101716,0.225026,0.102986,0.228577,0.448594,0
0.054509,0.0449728,0.0579268,0.0427149,0.0334742,0.0265395,0.0336493,0.0279767,0.0519247,0.0479872,0.0499714,0.0499797,0.0252158,0.220154,0.0212583,0.0430354,0.0447727,0.0535085,0.0254296,0.0334696,0.0271189,0
0.0675832,0.115755,0.161207,0.154334,0.266286,0.335745,0.262055,0.333812,0.150774,0.154704,0.153426,0.153452,0.121499,0.0667043,0.227165,0.239456,0.112758,0.159025,0.124718,0.263807,0.335007,0
0.0655419,0.080493,0.104301,0.0847159,0.120598,0.10689,0.11967,0.107569,0.0953383,0.0923212,0.093654,0.0936732,0.0609076,0.132651,0.0816511,0.111179,0.0791579,0.0989942,0.0620205,0.119922,0.107307,0
0.263535,0.269095,0.458683,0.363661,0.696476,0.820629,0.693434,0.821978,0.390961,0.409205,0.401727,0.401761,0.177616,0.0372211,0.451891,0.363447,0.254388,0.541422,0.183683,0.694433,0.821699,1
0.105951,0.184118,0.294271,0.249344,0.551556,0.624975,0.542892,0.617323,0.28849,0.248158,0.262468,0.26249,0.213343,0.0354761,0.260108,0.358111,0.175361,0.34391,0.219111,0.54634,0.621926,1
0.430432,0.394448,0.577321,0.628928,0.739495,0.798779,0.736299,0.811604,0.486825,0.659128,0.603144,0.603198,0.241963,0.0759229,1,0.399959,0.373984,0.74941,0.249852,0.736966,0.806344,1
0.196853,0.317536,0.413936,0.290018,0.441762,0.574415,0.440568,0.573302,0.309392,0.344117,0.338491,0.338531,0.320752,0.164102,0.475042,0.435569,0.314407,0.243406,0.324666,0.440381,0.574619,1
0.0714855,0.0985111,0.147765,0.120287,0.251081,0.317399,0.247881,0.315499,0.139173,0.130974,0.133505,0.133515,0.107637,0.0554469,0.160226,0.188079,0.0957616,0.145096,0.110068,0.249212,0.316687,1
0.301732,0.376494,0.248342,0.204123,0.13711,0.131686,0.141406,0.140738,0.264943,0.206189,0.22619,0.226209,0.29787,1,0.021218,0.421004,0.379709,0.0959618,0.296563,0.139169,0.136718,1
0.179848,0.253738,0.283569,0.387161,0.503291,0.668968,0.496033,0.673368,0.279789,0.363743,0.337141,0.3372,0.249842,0.0868043,0.609291,0.383742,0.249252,0.255826,0.255233,0.498797,0.67209,1
0.365337,0.572468,0.601666,0.520717,0.553375,0.745296,0.552624,0.750572,0.533976,0.565782,0.560034,0.560049,0.570401,0.245389,0.632127,0.805075,0.568484,0.369374,0.575352,0.551927,0.748664,1
0.057234,0.0938816,0.120197,0.10722,0.167257,0.124661,0.165831,0.1257,0.0987808,0.121582,0.113861,0.113887,0.0981084,0.110894,0.173851,0.150974,0.0936023,0.0762854,0.0993404,0.166511,0.12505,1
