@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.252321,0.387237,0.440139,0.49165,0.489645,0.72414,0.482005,0.724991,0.479236,0.466413,0.469787,0.469893,0.371341,0.0778207,0.510553,0.571807,0.376339,0.483961,0.378545,0.484719,0.725241,0
0.0899147,0.0722985,0.138189,0.118891,0.160478,0.221746,0.158374,0.221075,0.127352,0.124796,0.125069,0.125081,0.0264968,0.0345889,0.127236,0.0674645,0.0634866,0.300097,0.0281548,0.15898,0.221593,0
0.0819677,0.181892,0.295504,0.248528,0.467322,0.543724,0.455888,0.530102,0.275805,0.256116,0.26325,0.263273,0.229627,0.0327675,0.48439,0.36859,0.176343,0.255966,0.237737,0.460579,0.537335,0
0.105628,0.146662,0.218477,0.155775,0.296194,0.274743,0.293848,0.272988,0.175891,0.185124,0.181706,0.181728,0.126237,0.0522859,0.268378,0.179803,0.140551,0.256859,0.12878,0.294713,0.274382,0
0.0750366,0.101802,0.170113,0.11961,0.300928,0.271833,0.298147,0.269945,0.142441,0.140914,0.139794,0.139806,0.0858602,0.0632319,0.163463,0.174738,0.0979045,0.177591,0.0883527,0.299416,0.271182,0
0.425476,0.471634,0.500519,0.444122,0.471694,0.57727,0.472773,0.585794,0.469297,0.467774,0.47349,0.473583,0.419229,0.225125,0.37508,0.520953,0.455186,0.670309,0.421489,0.471646,0.581519,0
0.309299,0.492378,0.422184,0.329532,0.289894,0.230164,0.295182,0.240695,0.354068,0.380363,0.372369,0.372425,0.53778,0.466924,0.22293,0.571342,0.494495,0.172691,0.536591,0.292025,0.236391,0
0.00817493,0.00830739,0.00824217,0.00363404,0.00940615,0.0032974,0.00863368,0.00321763,0.00626203,0.00407741,0.00526291,0.00526002,0.00856321,0.132298,0.00350278,0.0167177,0.00920973,0.00853961,0.00852283,0.00900519,0.00318023,0
0.0843129,0.102995,0.191842,0.154656,0.296451,0.350219,0.29311,0.34829,0.160835,0.168721,0.167411,0.167452,0.0694357,0.0462047,0.236418,0.159716,0.0965958,0.246942,0.0729214,0.294555,0.349628,0
0.0883291,0.133402,0.249105,0.182199,0.4525,0.366694,0.446488,0.360664,0.197424,0.219331,0.211733,0.211761,0.117762,0.0359168,0.396966,0.237975,0.127153,0.253881,0.122947,0.448785,0.364342,0
0.112047,0.173616,0.244368,0.227742,0.298805,0.45432,0.293888,0.451384,0.235838,0.225246,0.230356,0.230362,0.163666,0.0510696,0.304718,0.296798,0.168409,0.242459,0.168061,0.295642,0.45375,0
0.0538824,0.0956721,0.0561244,0.0559153,0.0695356,0.0541268,0.0686422,0.0552543,0.0601972,0.0547087,0.0580876,0.0580845,0.106005,0.282105,0.0350922,0.132211,0.0974138,0.0214669,0.105763,0.0689093,0.0546835,0
0.0965515,0.103625,0.180132,0.114548,0.221853,0.248068,0.220801,0.247057,0.131187,0.150373,0.144541,0.144579,0.0633116,0.0518804,0.201543,0.143807,0.0999984,0.171073,0.0657178,0.221109,0.247767,1
0.14938,0.150969,0.319868,0.244724,0.650815,0.662688,0.64439,0.658274,0.284975,0.268638,0.274396,0.274413,0.0855619,0.00695069,0.303293,0.158249,0.13512,0.524143,0.090453,0.647368,0.661611,1
0.0648013,0.138016,0.124784,0.104963,0.0601012,0.13897,0.0597339,0.13983,0.112781,0.110473,0.111304,0.111315,0.190391,0.222986,0.111485,0.218546,0.13916,0.0553262,0.190592,0.0596306,0.139603,1
0.438427,0.796154,0.650136,0.578286,0.606591,0.802769,0.610718,0.818042,0.580067,0.621882,0.615522,0.61557,0.955798,0.35935,0.500294,0.966035,0.79894,0.277759,0.954522,0.608495,0.810778,1
0.144652,0.208669,0.256953,0.187349,0.440854,0.206333,0.438741,0.206887,0.199916,0.219735,0.218289,0.218305,0.200077,0.150453,0.263176,0.224426,0.202254,0.290659,0.20158,0.439887,0.206895,1
0.104385,0.15313,0.223014,0.167074,0.27268,0.346115,0.269993,0.343862,0.198925,0.18695,0.189632,0.189666,0.152664,0.0620156,0.176452,0.269479,0.149073,0.203183,0.155806,0.270917,0.345641,1
0.207677,0.215944,0.338887,0.322821,0.463476,0.539805,0.460012,0.542248,0.337729,0.319156,0.327002,0.327038,0.140837,0.0460285,0.282155,0.278092,0.202483,0.484958,0.14586,0.461221,0.541549,1
0.142439,0.182569,0.327572,0.258431,0.587272,0.648034,0.579552,0.640992,0.293705,0.280172,0.28602,0.286046,0.1401,0.0315337,0.361229,0.278778,0.169767,0.454236,0.146068,0.582884,0.64491,1
0.078635,0.128402,0.138821,0.116073,0.235756,0.258894,0.232349,0.256773,0.127955,0.11691,0.122392,0.122384,0.164052,0.133755,0.143018,0.25221,0.128773,0.0713991,0.165527,0.233698,0.258207,1
