@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.123175,0.132596,0.167247,0.18295,0.198705,0.190107,0.198067,0.195188,0.131118,0.195183,0.17527,0.175275,0.113375,0.0884318,0.301038,0.166905,0.130507,0.141565,0.115032,0.198344,0.193264,0
0.101698,0.0868001,0.177779,0.136675,0.277443,0.294327,0.274439,0.292407,0.169839,0.140427,0.151856,0.151882,0.0349372,0.0268392,0.101798,0.0923873,0.0764915,0.346634,0.0375282,0.275738,0.293694,0
0.0248381,0.035746,0.0413861,0.0358291,0.0211486,0.0210608,0.0208091,0.0220207,0.0363667,0.0361741,0.036702,0.036696,0.0391486,0.113491,0.0222809,0.0380494,0.0358901,0.0403501,0.0391946,0.0209872,0.0217432,0
0.222594,0.336651,0.398059,0.380022,0.437034,0.525632,0.434587,0.529712,0.358679,0.395923,0.385972,0.386029,0.357865,0.134801,0.515706,0.558959,0.332564,0.277519,0.362385,0.435353,0.528098,0
0.0475304,0.0374397,0.0754938,0.0485874,0.0575125,0.0698788,0.0574386,0.0704705,0.053555,0.0606075,0.0587031,0.0587098,0.0142486,0.0875505,0.0570672,0.0331135,0.0356611,0.0939357,0.0149453,0.057471,0.0703143,0
0.0780654,0.0964625,0.106998,0.0663845,0.0724034,0.0648874,0.0733794,0.0667376,0.0742868,0.0900911,0.0854041,0.0854108,0.091686,0.275154,0.0732685,0.0997697,0.0972338,0.0478563,0.091616,0.0728013,0.0657637,0
0.150206,0.184198,0.304372,0.24354,0.485053,0.330076,0.480125,0.327205,0.280655,0.259666,0.265006,0.26501,0.123938,0.0116746,0.312376,0.249936,0.172171,0.43266,0.127582,0.482455,0.328727,0
0.102134,0.164728,0.278144,0.281262,0.696121,0.621163,0.682851,0.610948,0.275728,0.272493,0.27379,0.273807,0.143697,0.0229966,0.499118,0.291404,0.151625,0.455292,0.151172,0.688908,0.617432,0
0.082262,0.137596,0.152796,0.15186,0.174159,0.143142,0.172485,0.144891,0.149621,0.150517,0.151937,0.151953,0.152909,0.10966,0.147697,0.209261,0.136854,0.106237,0.154348,0.173101,0.144411,0
0.0169195,0.0198087,0.0372494,0.0261936,0.0526472,0.0852592,0.0511897,0.0842554,0.0337292,0.0279727,0.0300315,0.0300375,0.0179336,0.0843072,0.02737,0.041805,0.018763,0.0662681,0.018469,0.0518684,0.0847739,0
0.0844268,0.216718,0.311588,0.298857,0.641158,0.710575,0.628884,0.700283,0.310404,0.282138,0.295792,0.295807,0.324384,0.03567,0.413771,0.490429,0.2131,0.217239,0.331731,0.633439,0.706973,0
0.0721787,0.0561354,0.102235,0.0859779,0.0720083,0.117454,0.0714049,0.118209,0.0997193,0.0871572,0.0921319,0.0921458,0.0225135,0.0599886,0.0540636,0.0657477,0.0515778,0.177038,0.0239195,0.0714884,0.117931,0
0.144338,0.165906,0.191222,0.170533,0.172053,0.152977,0.17253,0.15723,0.167505,0.185683,0.179426,0.179447,0.132273,0.185518,0.163785,0.207079,0.164254,0.142485,0.133605,0.172124,0.155346,1
0.167515,0.280709,0.453995,0.303974,0.68584,0.612169,0.678498,0.602362,0.340961,0.372891,0.365474,0.365514,0.299502,0.0663106,0.605385,0.46027,0.271335,0.400741,0.305242,0.681351,0.607918,1
0.136382,0.18423,0.204502,0.20749,0.179957,0.144985,0.18016,0.150646,0.185737,0.213179,0.206026,0.206048,0.172826,0.15694,0.200931,0.237381,0.182951,0.140215,0.174189,0.179791,0.148111,1
0.0123526,0.0108722,0.0181616,0.00461509,0.0097856,0.00279255,0.00937719,0.00278243,0.010016,0.0102556,0.0106737,0.0106728,0.00852811,0.12785,0.00734376,0.0133842,0.0115326,0.0165398,0.00847075,0.00958316,0.00271552,1
0.188811,0.279854,0.315531,0.259352,0.321852,0.322537,0.322203,0.326808,0.264797,0.289605,0.281062,0.281096,0.270969,0.193967,0.27283,0.377754,0.277895,0.196882,0.272956,0.321709,0.32512,1
0.133324,0.260158,0.253217,0.213528,0.263926,0.32753,0.261031,0.326162,0.219062,0.237183,0.233267,0.233274,0.311645,0.159178,0.341622,0.360979,0.259705,0.146846,0.314008,0.261593,0.327246,1
0.349775,0.400336,0.513906,0.419637,0.695889,0.820701,0.690693,0.818768,0.436494,0.469073,0.460798,0.460872,0.293904,0.0769864,0.599942,0.382525,0.38532,0.601993,0.299774,0.692191,0.820153,1
0.222005,0.53727,0.440966,0.364845,0.556932,1,0.553683,1,0.389112,0.394137,0.393797,0.393857,0.806749,0.187481,0.4342,0.747875,0.539514,0.18502,0.806787,0.554531,1,1
0.180247,0.293404,0.384234,0.301547,0.549621,0.521708,0.546429,0.521473,0.309764,0.345648,0.33476,0.334794,0.322524,0.106475,0.443654,0.41418,0.288495,0.282573,0.326384,0.547486,0.522054,1
0.0075198,0,0.00610183,0.00123898,0.00830388,0.0207147,0.0074598,0.0204433,0.00418278,0.00243713,0.00333524,0.00333166,0.000526427,0.0833789,0.00829394,0,0,0.0301289,0.000503385,0.00787255,0.0205182,1
