@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.0503029,0.0755085,0.0970786,0.0836012,0.11037,0.121627,0.109258,0.12221,0.0868473,0.0883784,0.0883004,0.0883082,0.0770338,0.101699,0.104351,0.121058,0.0748229,0.0792407,0.078042,0.109672,0.121985,0
0.334137,0.269821,0.481125,0.367669,0.426764,0.37105,0.428898,0.376865,0.385431,0.405914,0.404142,0.404167,0.119481,0.0616102,0.390299,0.23967,0.254372,0.559811,0.123885,0.427072,0.374235,0
0.0494768,0.0741535,0.10099,0.0830624,0.155864,0.150069,0.153817,0.149375,0.0895333,0.0887716,0.0896269,0.0896303,0.0728925,0.082145,0.10923,0.112567,0.0723855,0.108381,0.0741017,0.154681,0.149826,0
0.263839,0.337312,0.505826,0.27872,0.817918,0.596803,0.814924,0.591254,0.379759,0.383825,0.37777,0.377829,0.253825,0.132298,0.341445,0.356794,0.319363,0.658624,0.256813,0.816936,0.594823,0
0.000655134,0.0258094,0.0533895,0.0316884,0.0741689,0.126492,0.0717288,0.123415,0.0345666,0.0416072,0.0373652,0.0373738,0.0665579,0.0243186,0.120641,0.0711772,0.0267949,0.0137341,0.0676792,0.0727251,0.124919,0
0.551803,0.594712,0.600001,0.46634,0.292503,0.449844,0.303686,0.46852,0.411551,0.598391,0.540729,0.540746,0.409841,0.569069,0.532825,0.539802,0.593938,0.294136,0.410658,0.296332,0.459263,0
0.0501984,0.11582,0.155537,0.138508,0.159478,0.23287,0.15592,0.229954,0.137275,0.146249,0.143454,0.143452,0.157612,0.0901122,0.242876,0.235743,0.114999,0.0992118,0.160354,0.157159,0.23173,0
0.195249,0.180375,0.309998,0.311334,0.464081,0.500698,0.458835,0.501179,0.304129,0.309692,0.308923,0.308952,0.0978276,0.0268392,0.385258,0.202844,0.165252,0.516528,0.103229,0.460952,0.500839,0
0.0459448,0.0503283,0.0957894,0.0629531,0.111643,0.125017,0.110473,0.124143,0.0815844,0.0726638,0.0759042,0.0759123,0.0327613,0.0402999,0.0601754,0.0544953,0.0467684,0.147616,0.0338309,0.111031,0.124598,0
0.0865346,0.16376,0.315493,0.149728,0.460641,0.469448,0.457031,0.461001,0.191255,0.238704,0.220236,0.220267,0.202797,0.0466924,0.502476,0.320934,0.160491,0.185836,0.207204,0.458256,0.465586,0
0.0848066,0.108996,0.201905,0.234969,0.487557,0.763275,0.47739,0.756843,0.201858,0.220573,0.213007,0.213035,0.0724889,0.00486489,0.477997,0.150609,0.0967267,0.410033,0.0782329,0.482126,0.760797,0
0.140863,0.209846,0.279733,0.223343,0.29313,0.346855,0.291683,0.347358,0.258099,0.254176,0.253998,0.254051,0.205078,0.153697,0.234139,0.348947,0.205117,0.244322,0.208297,0.291893,0.347745,0
0.370416,0.416854,0.42,0.412594,0.340302,0.38563,0.342984,0.398199,0.391757,0.418379,0.413928,0.413985,0.313364,0.295907,0.326677,0.443881,0.411542,0.344472,0.315831,0.341203,0.392594,1
0.193027,0.201426,0.292218,0.207112,0.339611,0.22826,0.338244,0.227772,0.243702,0.244877,0.24603,0.246037,0.156682,0.107004,0.227165,0.273621,0.193061,0.341022,0.159469,0.338448,0.22803,1
0.179507,0.29171,0.374171,0.354344,0.588746,0.486975,0.582748,0.486888,0.358732,0.360571,0.358107,0.358149,0.325893,0.0743659,0.4569,0.452372,0.283522,0.372661,0.33062,0.585326,0.487708,1
0.223761,0.308825,0.450966,0.426016,0.804197,0.882491,0.795763,0.880929,0.370831,0.459992,0.429869,0.429923,0.270952,0.0682084,0.826061,0.395409,0.296903,0.481042,0.278111,0.79921,0.882357,1
0.125368,0.168874,0.205103,0.190425,0.311661,0.268181,0.30939,0.270078,0.187493,0.199322,0.194489,0.194525,0.148435,0.114443,0.215562,0.264486,0.165546,0.189612,0.150877,0.310308,0.269409,1
0.0224739,0.0310358,0.0521503,0.0540822,0.101804,0.174124,0.0990891,0.172563,0.058927,0.0490324,0.0532207,0.053235,0.024707,0.0243186,0.050126,0.0556613,0.0285453,0.110267,0.0259677,0.100283,0.173376,1
0.167515,0.164035,0.321395,0.261535,0.397741,0.377961,0.394171,0.376296,0.278669,0.280979,0.283033,0.283067,0.0882642,0.0235078,0.318375,0.174037,0.14819,0.529678,0.0928485,0.395228,0.377587,1
0.17474,0.151727,0.194101,0.156079,0.0622101,0.194938,0.0644048,0.199325,0.162295,0.181931,0.175069,0.175089,0.0971959,0.169261,0.126438,0.165796,0.148174,0.188443,0.0983683,0.0631078,0.197199,1
0.189884,0.236849,0.370003,0.310372,0.389353,0.415262,0.388363,0.418192,0.277965,0.351909,0.328972,0.329018,0.185548,0.0812578,0.481782,0.24495,0.228673,0.349403,0.189655,0.388278,0.416623,1
0.155257,0.0886552,0.174832,0.145186,0.222753,0.173486,0.222199,0.17593,0.160515,0.148448,0.155148,0.155185,0.0244788,0.0389133,0.0884956,0.0828016,0.0796977,0.31039,0.0266794,0.222328,0.174517,1
