@relation detodo
@attribute Expedient real [1,150]
@attribute Exercici-AC1 {7.9,10.0,NP,7.2,9.3,5.7,6.8,6.5,7.1,6.9,3.2,5.2,7.0,8.6,5.5,5.8,4.8,5.1,6.7,8.3,4.4,6.6,9.0,3.9,5.0,9.5,4.6}
@attribute Exercici-AC2 {NP,7.75,7.0,5.5,4.5,8.75,8.25,7.25,3.0,6.25,5.0,6.5,0.0,8.0,6.0,6.75,5.75,9.75,7.5,3.75,8.5,3.25,3.5,4.75,9.25,5.25,9.0,1.0,4.25,1.25,4.0,1.75}
@attribute Midterm {6.5,6.6,4.6,5.3,6.35,5.0,5.45,5.55,4.15,6.25,4.3,3.85,4.85,0.25,1.95,3.75,NP,3.1,6.9,2.3,6.0,3.7,6.2,1.8,7.6,3.6,2.95,6.65,5.6,2.6,5.7,3.3,6.15,1.9,7.05,7.1,4.35,8.0,4.25,8.55,3.5,2.75,1.3,4.5,7.0,7.8,4.2,7.45,4.1,1.2,1.1,2.0,4.8,5.9,7.2,3.8,2.05,3.25,3.55,5.4,8.1,7.5,3.4,7.85,8.7,1.0,5.75,4.0,5.85,3.0,6.95,3.65,8.45,5.35,6.7,2.55,2.5,3.95,7.35,2.25}
@attribute Exercici-AC3 {2.0,NP,10.0,4.0,7.0}
@attribute ExamenFebrer {5.5,6.0,NP,5.75,4.15,3.4,5.0,8.0,8.35,7.2,4.0,2.5,2.05,6.5,4.45,5.65,4.2,2.75,7.9,7.55,7.45,1.35,7.85,3.15,4.05,4.55,5.05,6.9,7.05,4.3,6.15,5.4,1.1,9.7,4.6,6.05,6.65,9.25,8.55,2.9,3.0,4.25,5.6,2.15,6.6,5.8,7.25,3.35,3.3,3.9,6.25,7.6,3.1,1.6,5.15,3.55,2.85,8.15,1.05,8.7,3.85,7.7,0.5,5.2,6.45,5.25,3.75,3.25,1.85,2.35,2.4,5.85,6.2,5.9,3.8}
@attribute sumFEBRER real [0,5.82]
@attribute sumMIDTERM real [0,1.74]
@attribute sumAC1 real [0,0.666667]
@attribute sumAC2 real [0,0.65]
@attribute sumAC3 real [0,0.666667]
@attribute resultat real [0,8.92333]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
125,9.3,8.75,6.2,10.0,3.55,2.13,1.24,0.62,0.583333,0.666667,5.24,APROBADO
44,9.3,5.75,5.6,2.0,5.4,3.24,1.12,0.62,0.383333,0.133333,5.49667,APROBADO
113,4.8,4.25,6.25,2.0,6.45,3.87,1.25,0.32,0.283333,0.133333,5.85667,BIEN
138,8.6,8.25,3.95,4.0,6.25,3.75,0.79,0.573333,0.55,0.266667,5.93,BIEN
96,4.4,5.75,NP,NP,2.85,0,0,0.293333,0.383333,0,0.676667,SUSPENDIDO
123,8.6,7.5,3.65,2.0,3.25,0,0.73,0.573333,0.5,0.133333,1.93667,SUSPENDIDO
142,NP,NP,NP,NP,NP,0,0,0,0,0,0,SUSPENDIDO
50,5.8,7.0,NP,10.0,NP,0,0,0.386667,0.466667,0.666667,1.52,SUSPENDIDO
121,5.0,NP,NP,NP,1.35,0,0,0.333333,0,0,0.333333,SUSPENDIDO
34,NP,NP,6.65,NP,NP,0,1.33,0,0,0,1.33,SUSPENDIDO
40,8.6,7.0,3.3,10.0,4.3,2.58,0.66,0.573333,0.466667,0.666667,4.94667,SUSPENDIDO
93,6.5,NP,NP,NP,NP,0,0,0.433333,0,0,0.433333,SUSPENDIDO
102,6.5,NP,4.3,NP,2.5,0,0.86,0.433333,0,0,1.29333,SUSPENDIDO
9,7.9,8.75,4.15,10.0,8.35,5.01,0.83,0.526667,0.583333,0.666667,7.61667,NOTABLE
100,6.7,9.0,7.85,2.0,8.7,5.22,1.57,0.446667,0.6,0.133333,7.97,NOTABLE
