@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
93,39,87,183,64,8,169,40,20,134,200,422,149,72,7,25,188,195,saab
86,40,66,138,59,4,137,49,18,133,162,279,151,74,6,14,186,190,saab
82,36,51,114,53,4,135,50,18,126,150,268,144,86,15,4,181,182,saab
110,53,104,223,66,10,211,32,24,164,223,659,210,67,5,16,190,203,saab
86,40,63,135,56,5,133,50,18,135,152,262,166,70,9,2,187,191,saab
107,51,103,182,56,11,213,31,24,162,226,673,217,72,2,4,188,198,saab
91,36,72,162,60,8,150,44,19,133,166,334,121,63,2,22,196,205,saab
88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180,184,saab
111,53,108,211,61,11,207,32,23,167,217,636,216,64,21,2,196,205,saab
110,46,100,197,61,9,193,34,22,149,209,561,160,65,11,7,194,203,saab
90,34,66,136,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab
112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191,202,saab
86,38,86,175,60,9,170,39,21,134,191,433,138,68,1,28,191,199,saab
96,40,78,170,58,7,174,38,21,139,197,455,160,68,3,29,191,200,saab
109,54,103,205,63,11,222,30,25,175,229,720,213,71,6,14,187,200,saab
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,saab
106,48,107,202,61,10,207,32,24,153,227,635,200,70,5,28,190,203,saab
97,44,96,195,63,9,185,36,22,144,202,512,165,66,4,8,191,199,saab
104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab
91,36,77,157,56,7,155,42,19,126,177,361,123,65,8,15,195,201,saab
84,47,75,153,64,6,154,43,19,145,175,354,184,75,0,3,185,192,bus
86,46,73,125,57,6,151,45,19,147,170,334,188,82,9,11,180,184,bus
87,41,73,158,64,7,151,44,19,138,175,341,152,73,3,8,190,194,bus
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,bus
87,42,70,139,59,7,149,45,19,142,177,327,156,78,6,9,185,188,bus
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus
81,45,68,137,60,7,152,45,19,151,167,333,179,81,3,13,179,183,bus
96,49,98,187,59,6,213,31,24,152,228,680,210,77,8,28,188,189,bus
81,43,68,148,64,7,150,45,19,144,175,330,171,80,1,2,182,185,bus
86,43,68,152,62,7,150,44,19,142,179,337,164,75,4,9,188,192,bus
89,41,75,162,66,5,153,43,19,136,175,352,154,72,2,0,188,195,bus
105,51,80,207,71,6,195,33,22,159,214,579,188,75,6,20,194,194,bus
92,37,75,191,71,6,161,40,20,128,180,393,135,69,1,14,195,202,bus
86,45,66,126,57,8,148,46,19,145,170,321,186,86,0,7,179,182,bus
86,47,75,165,68,6,154,43,19,146,176,356,190,74,7,3,188,194,bus
107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus
107,55,103,167,49,7,252,27,28,172,269,904,239,83,5,30,179,186,bus
96,36,74,183,70,6,149,43,19,127,178,341,127,69,0,17,201,205,bus
97,47,88,183,60,7,197,33,23,148,214,596,201,74,8,0,192,191,bus
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus
89,42,70,148,62,7,147,45,19,143,176,323,153,76,2,6,186,189,bus
94,46,79,181,62,8,167,40,20,148,190,418,193,67,12,15,191,198,opel
107,52,101,218,64,11,202,33,23,164,219,610,192,65,17,2,197,206,opel
88,39,88,194,69,8,168,40,20,133,199,416,151,74,3,22,186,192,opel
91,45,75,154,57,6,150,44,19,146,170,335,180,66,16,2,193,198,opel
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,opel
102,54,98,167,53,10,217,31,24,174,228,692,223,72,0,31,187,198,opel
105,54,96,185,57,10,219,30,25,170,231,706,217,75,5,12,187,195,opel
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,opel
98,55,101,219,69,11,225,30,25,178,231,748,216,74,6,14,187,195,opel
92,42,75,172,60,8,147,45,19,142,174,322,160,62,22,10,206,211,opel
91,46,101,199,65,9,196,34,23,146,219,574,199,73,5,8,186,194,opel
88,35,50,121,58,5,114,59,17,122,132,192,138,74,21,4,182,187,opel
98,45,76,166,60,7,157,42,20,148,184,371,186,69,13,10,190,196,opel
93,35,72,172,62,7,149,44,19,124,169,334,125,62,5,30,203,210,opel
101,55,107,200,61,11,225,30,25,178,228,730,204,74,8,35,187,201,opel
101,56,100,168,55,11,214,31,24,175,219,681,224,74,2,3,185,192,opel
94,37,74,169,59,7,162,41,20,133,178,394,130,63,6,6,198,204,opel
93,45,73,164,59,7,159,42,20,146,182,379,188,65,11,15,195,201,opel
101,55,101,183,57,13,225,30,25,177,225,741,204,71,5,10,186,198,opel
101,53,103,203,63,9,195,34,22,162,210,571,210,68,5,5,191,198,opel
108,55,105,230,68,11,218,30,24,171,228,709,210,69,14,4,190,197,opel
89,46,78,150,63,11,160,43,20,160,170,367,176,73,5,9,185,194,van
89,45,85,149,59,11,158,43,20,158,177,362,173,75,12,16,183,193,van
93,46,85,169,66,9,151,44,19,147,169,339,179,67,0,4,195,204,van
91,36,60,126,56,6,119,56,17,130,139,211,118,67,6,14,192,198,van
87,36,53,117,58,4,118,57,17,125,138,205,138,85,9,15,180,183,van
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,van
89,46,74,135,59,9,157,44,20,158,170,356,177,79,12,3,184,191,van
84,37,70,145,62,9,136,48,18,134,159,280,140,68,11,9,194,202,van
92,40,82,163,63,9,146,45,19,140,165,319,137,64,9,0,199,206,van
90,44,72,157,64,8,137,48,18,144,159,283,171,65,9,4,196,203,van
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van
85,37,68,145,60,6,130,51,18,130,150,253,121,65,3,14,195,203,van
96,46,88,160,64,9,151,44,19,148,173,339,182,70,15,11,192,199,van
92,35,58,136,58,6,122,55,17,132,142,222,116,64,6,17,197,203,van
93,40,62,117,49,7,131,52,18,145,160,249,156,78,8,6,184,184,van
88,40,55,114,53,7,132,53,18,139,142,249,158,87,0,7,176,183,van
94,35,66,147,62,9,131,50,18,127,159,258,115,66,8,7,196,201,van
86,40,66,139,59,7,122,54,17,139,145,225,143,63,7,11,202,208,van
85,47,75,121,53,9,157,44,20,165,168,358,176,77,1,7,182,191,van
116,53,110,231,67,12,217,31,24,165,231,692,222,67,16,28,192,206,saab
108,56,103,234,73,10,221,30,25,174,232,718,214,73,8,3,187,197,saab
113,57,109,194,56,6,260,26,28,175,288,982,261,85,11,21,182,183,bus
85,42,59,132,58,7,149,46,19,144,166,320,172,83,8,4,179,182,bus
