@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
91,39,83,176,59,7,169,39,20,132,190,426,142,67,0,24,192,199,saab
92,45,76,162,57,7,159,41,20,147,184,381,177,69,8,10,190,195,saab
104,55,100,201,66,10,214,31,24,173,224,680,221,74,1,1,185,194,saab
92,37,80,180,67,8,154,43,19,129,180,353,144,69,6,9,190,195,saab
98,42,90,192,61,9,178,37,21,144,189,480,138,61,3,8,199,208,saab
104,50,96,211,65,10,187,35,22,156,207,527,195,65,3,7,195,206,saab
96,50,94,215,67,9,187,35,22,158,214,525,214,67,8,6,193,201,saab
104,55,107,222,68,11,218,31,24,173,232,703,229,71,3,10,188,199,saab
91,43,72,142,56,7,149,45,19,140,168,327,165,72,13,23,186,191,saab
104,54,101,197,64,11,213,31,24,172,218,669,222,74,14,4,187,196,saab
108,49,109,204,61,11,212,31,24,159,229,665,215,71,16,11,190,199,saab
90,36,74,171,60,8,157,42,19,128,177,367,123,61,6,21,197,204,saab
87,39,74,152,58,6,151,44,19,136,174,337,140,70,1,33,187,196,saab
108,54,105,203,62,11,202,33,23,164,216,608,235,68,12,3,190,200,saab
89,40,89,174,58,8,177,37,21,133,202,471,155,70,7,18,189,196,saab
93,39,86,180,59,9,167,39,20,134,186,418,129,63,6,17,197,204,saab
90,39,85,160,59,7,163,41,20,131,189,396,158,71,7,13,186,192,saab
94,46,77,169,60,8,158,42,20,148,181,373,181,67,12,2,193,199,saab
104,53,101,190,63,10,213,32,24,166,218,664,202,74,13,21,188,198,saab
89,48,85,189,64,8,169,39,20,153,188,427,190,64,16,5,195,201,saab
109,52,104,199,60,12,215,31,24,162,220,691,212,67,11,7,189,199,saab
109,52,95,189,58,4,227,29,25,158,262,776,217,82,0,19,187,186,bus
108,57,106,177,51,5,256,26,28,170,285,966,261,87,11,2,182,181,bus
104,49,89,168,54,4,212,31,24,153,238,682,198,78,1,23,190,189,bus
99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus
83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185,191,bus
86,46,70,149,65,8,149,45,19,146,170,331,185,77,6,6,183,188,bus
84,45,68,148,64,6,146,46,19,142,168,317,180,75,5,1,183,187,bus
93,47,84,205,71,7,176,36,21,152,190,476,201,70,7,19,198,201,bus
94,44,70,186,72,8,153,42,19,144,171,361,178,67,7,2,199,206,bus
91,42,66,169,66,7,145,44,19,140,169,325,159,67,4,0,201,207,bus
96,46,74,202,74,5,163,39,20,149,185,408,191,70,7,8,196,200,bus
86,43,69,123,54,6,150,46,19,144,174,325,177,87,3,7,180,182,bus
85,43,64,128,56,8,150,46,19,144,168,324,173,82,9,14,180,184,bus
80,44,68,135,59,8,150,45,19,145,170,329,173,80,7,12,180,185,bus
98,40,77,171,61,6,172,37,21,139,197,457,141,72,4,17,199,201,bus
82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180,185,bus
91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195,201,bus
87,46,71,159,66,6,151,44,19,146,175,343,189,73,2,0,186,190,bus
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus
81,44,72,139,60,6,153,44,19,146,180,347,178,81,1,15,182,186,bus
80,43,68,123,53,7,150,46,19,147,169,327,176,81,7,14,179,184,bus
91,35,66,159,59,7,147,45,19,131,169,322,123,64,1,1,197,203,opel
103,48,101,204,62,12,200,33,23,158,215,595,164,66,8,22,192,202,opel
103,56,100,185,59,11,216,31,24,173,219,684,219,75,15,11,186,194,opel
79,40,80,133,55,7,147,47,19,135,172,311,144,76,8,30,181,193,opel
99,55,101,219,68,10,224,30,25,178,228,737,213,74,11,20,187,196,opel
102,52,101,213,64,10,203,33,23,157,214,616,186,65,0,19,193,203,opel
96,52,104,222,67,9,198,33,23,163,217,589,226,67,12,20,192,201,opel
98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185,196,opel
93,42,88,188,62,10,183,36,21,141,208,504,168,70,3,12,189,197,opel
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,opel
87,45,82,164,60,8,156,42,19,144,181,366,174,70,2,2,190,196,opel
101,55,105,182,59,10,215,31,24,177,221,678,223,74,12,26,186,195,opel
107,45,92,197,62,10,188,35,22,148,202,526,159,64,12,20,195,203,opel
89,44,82,136,54,6,149,45,19,144,170,332,168,68,10,14,188,193,opel
99,50,88,204,64,10,185,35,22,159,209,517,193,66,12,11,194,201,opel
102,52,98,225,71,10,214,31,24,164,228,682,199,71,0,16,187,196,opel
86,39,84,149,57,8,156,43,20,133,185,358,157,74,0,23,183,190,opel
103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188,196,opel
95,43,96,202,65,10,189,35,22,143,217,534,166,71,6,27,190,197,opel
85,38,63,130,55,7,122,55,17,130,137,219,144,64,20,8,195,201,opel
100,51,109,224,67,9,217,30,24,162,238,704,206,72,6,18,189,199,opel
96,39,58,117,51,6,133,52,18,139,154,255,150,86,6,0,181,182,van
88,44,85,139,56,11,157,43,20,155,176,363,175,76,5,16,184,195,van
97,41,62,133,56,7,130,52,18,143,158,247,157,78,5,7,184,186,van
91,43,88,157,61,9,149,45,19,157,165,326,140,64,1,26,197,207,van
96,39,77,160,62,8,140,47,18,150,161,294,124,62,15,3,201,208,van
93,48,84,150,63,11,156,44,20,165,171,354,188,73,8,15,185,195,van
93,42,64,123,51,7,135,51,18,144,164,262,155,78,16,12,185,185,van
96,45,80,162,63,9,146,46,19,148,161,316,161,64,5,10,199,207,van
90,49,85,141,57,11,159,43,20,167,173,365,186,75,1,11,182,192,van
92,43,70,124,52,6,139,49,18,144,164,282,172,79,4,16,183,185,van
90,46,75,133,55,11,160,43,20,161,173,369,171,77,0,16,182,192,van
90,48,78,142,59,11,160,43,20,160,173,370,185,76,10,11,183,192,van
94,49,87,159,64,10,157,43,20,158,179,363,203,75,4,0,183,194,van
89,47,85,147,58,10,153,44,19,151,175,349,186,74,13,7,186,197,van
89,40,58,137,58,7,122,54,17,140,146,225,150,63,7,4,199,206,van
87,40,81,162,68,10,146,46,19,139,167,317,157,70,0,13,189,199,van
92,41,66,125,52,7,139,50,18,143,160,275,161,81,7,19,182,184,van
86,38,58,119,56,4,118,57,17,129,140,208,152,78,9,2,184,186,van
95,42,85,174,66,9,153,44,19,144,168,347,150,65,11,5,196,204,van
111,50,103,199,60,11,211,31,24,156,223,663,188,68,9,9,190,200,saab
105,51,93,160,51,7,217,30,24,165,240,703,208,81,9,25,188,188,bus
89,41,63,134,59,6,123,55,17,137,148,223,150,76,12,3,186,188,van
89,37,51,111,54,5,120,56,17,127,138,213,147,82,7,4,181,183,van
