@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
90,39,89,181,62,8,175,38,21,132,200,458,154,70,11,15,189,195,saab
82,36,54,117,53,7,125,54,18,126,146,229,128,78,1,5,180,184,saab
108,53,104,181,56,11,220,31,25,167,226,712,214,72,15,18,189,199,saab
90,37,80,171,58,9,157,42,20,132,172,373,115,60,3,18,201,209,saab
85,33,40,115,57,3,112,61,17,119,130,184,127,86,12,21,181,183,saab
96,45,101,201,66,9,192,34,22,143,218,552,195,73,3,19,189,197,saab
101,51,112,201,59,11,214,32,24,162,223,667,194,65,0,36,190,206,saab
85,40,66,136,58,6,142,48,19,137,164,295,164,77,2,22,182,186,saab
91,38,75,136,53,6,144,47,19,131,165,305,149,69,1,7,186,191,saab
84,35,53,122,57,4,116,59,17,123,135,196,128,76,10,27,183,190,saab
103,51,105,174,56,11,210,32,24,163,222,650,222,73,8,9,187,196,saab
110,54,102,201,64,11,213,31,24,171,222,669,221,73,17,16,188,198,saab
94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195,204,saab
95,47,81,176,59,7,168,39,20,152,196,425,185,67,4,4,191,198,saab
97,41,88,184,59,9,175,38,21,140,192,459,147,63,1,5,196,205,saab
100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189,197,saab
88,37,63,130,58,5,125,54,18,130,141,230,145,74,14,20,184,188,saab
96,41,69,153,56,7,141,47,18,141,162,297,169,61,11,8,202,209,saab
92,38,71,174,66,7,154,43,19,133,181,355,130,70,4,24,189,195,saab
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab
115,53,100,205,64,11,220,30,25,166,229,710,214,71,21,11,189,199,saab
80,45,71,128,56,7,151,45,19,147,171,337,176,79,3,16,181,187,bus
