@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
99,48,104,196,63,10,201,33,23,152,221,604,199,73,8,4,188,197,saab
88,42,77,151,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab
105,51,105,197,60,11,191,35,22,162,207,545,194,64,18,4,196,205,saab
98,48,101,203,65,9,197,33,23,152,216,584,174,68,2,5,189,197,saab
89,42,80,151,62,6,144,46,19,139,166,308,170,74,17,13,185,189,saab
80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab
106,49,106,211,64,9,208,32,24,158,224,645,184,68,1,24,190,202,saab
87,41,66,140,58,6,148,46,19,136,164,318,178,79,19,2,181,185,saab
110,51,104,191,57,12,213,31,24,162,226,674,190,68,18,2,191,199,saab
107,53,108,213,64,12,206,32,23,163,216,627,202,65,21,22,194,205,saab
109,54,103,220,66,11,214,31,24,167,229,677,212,70,1,23,188,201,saab
98,55,104,213,67,9,206,32,23,167,223,629,220,72,5,19,187,196,saab
107,56,104,231,71,11,219,31,25,172,226,705,217,71,19,11,189,196,saab
78,38,63,115,51,6,142,47,19,130,162,299,146,77,2,4,181,185,saab
89,36,69,162,63,6,140,48,18,131,164,291,126,66,1,38,193,204,saab
98,50,90,192,63,9,177,37,21,155,195,472,197,65,10,1,193,201,saab
104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190,201,saab
88,38,58,137,60,5,148,46,19,131,163,319,157,86,12,0,180,183,saab
92,36,78,165,57,8,153,43,19,128,169,349,124,60,4,19,203,211,saab
112,50,104,197,58,11,208,32,24,159,223,639,186,67,15,22,191,202,saab
90,36,57,130,57,6,121,56,17,127,137,216,132,68,22,23,190,195,saab
98,46,77,199,71,7,166,39,20,150,184,422,180,69,13,9,200,203,bus
84,45,66,154,65,6,145,46,19,144,168,312,177,73,2,3,184,188,bus
