@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
88,48,90,178,60,8,175,38,21,152,200,460,198,68,13,16,192,199,saab
107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab
86,36,78,146,58,7,135,50,18,124,155,270,148,66,0,25,190,195,saab
92,37,86,167,60,7,158,42,20,131,181,373,144,68,9,21,190,196,saab
113,53,93,197,62,11,216,31,24,165,221,688,196,72,6,25,188,199,saab
90,43,72,172,59,8,154,42,19,144,174,360,158,61,15,9,203,209,saab
97,42,101,186,59,9,186,36,22,138,208,511,168,67,7,41,194,206,saab
100,47,88,190,60,10,171,38,21,155,186,440,169,59,15,18,201,210,saab
108,54,103,212,65,11,208,32,24,162,228,648,240,71,9,0,189,197,saab
96,37,74,187,68,8,159,42,20,134,183,378,134,69,3,16,190,197,saab
101,46,105,195,61,10,198,34,23,150,213,578,195,66,7,38,192,205,saab
100,54,102,206,65,10,198,33,23,164,224,587,240,72,4,11,187,196,saab
93,39,63,146,58,7,128,52,18,134,149,246,158,63,9,7,198,204,saab
91,40,83,166,60,8,160,41,20,133,189,383,155,72,5,7,186,191,saab
90,36,85,184,64,6,160,41,20,125,187,385,139,66,9,31,195,203,saab
107,54,108,228,68,12,218,31,25,170,223,700,224,67,13,25,190,204,saab
94,43,69,161,59,7,152,43,19,143,175,349,187,67,12,11,193,198,saab
