@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
94,40,85,186,62,9,169,39,20,139,184,430,133,61,2,9,200,210,saab
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab
106,52,108,207,64,12,221,31,25,168,229,709,200,73,22,38,190,205,saab
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab
85,33,50,104,53,4,115,59,17,118,136,193,127,83,1,30,179,185,saab
109,54,109,225,68,11,214,31,24,169,226,675,212,68,11,32,189,202,saab
105,54,108,234,70,12,215,31,24,168,226,687,228,68,4,22,189,201,saab
89,38,80,169,59,7,161,41,20,131,186,389,137,68,5,15,192,197,saab
91,39,83,170,60,8,172,38,21,134,197,445,152,72,0,10,188,194,saab
87,37,60,132,57,6,128,52,18,129,154,243,132,71,1,14,186,192,saab
89,45,77,188,64,9,161,41,20,151,190,390,174,66,4,2,194,201,saab
97,53,105,225,71,12,221,30,25,167,226,713,202,70,3,20,186,200,saab
106,54,101,222,67,12,222,30,25,173,228,721,200,70,3,4,187,201,saab
82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183,187,saab
83,37,54,118,55,4,129,52,18,127,146,245,140,81,4,13,180,184,saab
104,53,108,204,64,11,220,31,25,172,226,707,203,71,14,30,189,203,saab
93,45,81,177,64,7,160,41,20,147,180,383,188,70,11,11,192,199,saab
