@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
95,45,105,208,64,10,187,36,22,150,202,520,158,64,7,32,198,211,saab
97,45,76,175,60,9,157,42,20,149,180,370,169,63,16,12,198,206,saab
93,47,88,200,66,7,173,38,21,151,197,452,205,66,0,3,195,202,saab
104,51,105,168,54,10,208,32,24,162,220,641,221,72,9,20,187,197,saab
85,40,72,139,59,5,132,50,18,135,159,260,150,68,3,9,191,195,saab
113,48,98,208,62,9,203,33,23,151,216,613,183,64,17,29,193,204,saab
108,52,109,182,55,12,216,31,24,171,229,687,214,72,10,28,189,201,saab
103,53,106,172,55,10,212,32,24,168,220,660,223,73,16,24,187,197,saab
101,52,101,197,62,9,188,35,22,162,208,527,203,67,14,15,193,202,saab
85,38,75,132,54,7,147,46,19,131,171,318,145,75,7,25,183,188,saab
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,saab
105,45,100,195,61,10,198,33,23,149,214,586,186,67,8,5,192,200,saab
119,54,106,220,65,12,213,31,24,167,223,675,232,66,20,1,192,202,saab
90,34,66,158,59,7,140,47,18,124,165,298,117,61,1,3,201,207,saab
95,46,104,208,66,9,191,35,22,148,210,543,169,68,0,28,190,200,saab
88,45,82,155,56,8,154,43,19,149,180,357,170,69,3,0,188,193,saab
87,38,71,123,53,8,137,49,18,127,158,277,145,75,0,9,181,186,saab
86,41,64,148,61,5,150,45,19,138,165,333,173,80,5,8,182,185,saab
117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194,205,saab
106,52,101,213,64,11,201,33,23,158,214,607,204,65,2,4,192,204,saab
86,41,66,133,56,6,136,49,18,136,155,274,162,74,5,14,183,189,saab
86,42,65,125,54,7,150,45,19,140,171,327,172,85,2,8,180,182,bus
107,57,106,179,51,8,257,26,28,172,275,954,232,83,2,20,181,184,bus
81,45,68,169,73,6,151,44,19,146,173,336,186,75,7,0,183,189,bus
86,45,73,152,63,6,149,44,19,145,170,335,176,71,6,1,189,196,bus
85,42,66,122,54,6,148,46,19,141,172,317,174,88,6,14,180,182,bus
86,45,70,122,56,7,148,45,19,144,170,324,186,84,9,5,180,183,bus
90,38,75,164,64,7,151,43,19,131,168,345,139,66,0,0,195,204,bus
82,43,73,158,68,7,151,44,19,145,181,337,173,80,2,17,183,188,bus
94,44,84,216,74,6,184,35,22,145,208,525,154,73,4,22,196,197,bus
81,45,68,154,69,22,151,45,19,147,186,335,186,88,1,10,180,185,bus
94,45,89,213,71,5,186,35,22,145,204,533,182,71,4,13,195,198,bus
98,38,70,186,68,6,164,39,20,136,189,413,129,71,3,17,200,203,bus
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,bus
106,54,100,227,67,4,250,27,27,162,280,923,262,88,5,11,182,182,bus
100,49,80,206,70,6,183,35,21,156,206,517,198,73,3,13,198,199,bus
87,39,74,165,66,6,145,45,19,134,173,318,139,70,3,21,195,200,bus
108,56,102,246,75,6,239,28,26,167,264,855,228,82,9,13,186,185,bus
100,50,98,204,63,6,218,30,24,156,232,719,213,77,8,7,189,189,bus
89,41,76,183,73,7,157,42,19,136,181,373,153,74,8,12,191,195,bus
90,42,63,126,55,7,152,45,19,142,173,336,173,81,0,15,180,184,bus
106,57,107,235,67,6,262,26,28,171,285,987,260,86,9,31,180,184,bus
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,opel
86,40,75,146,62,6,140,48,18,135,158,290,162,72,3,21,183,190,opel
105,55,96,181,56,9,219,30,25,175,231,713,216,74,4,5,187,194,opel
97,47,81,183,64,8,168,39,20,150,193,426,182,70,11,2,192,198,opel
104,57,103,216,69,11,219,30,25,176,228,708,219,73,4,3,186,196,opel
107,53,103,221,66,11,209,32,24,163,222,653,212,66,0,1,191,201,opel
103,49,107,179,54,12,208,32,24,159,214,644,183,66,1,12,191,200,opel
106,49,96,201,61,10,181,36,21,158,197,494,180,62,19,15,202,209,opel
88,40,79,183,62,7,176,38,21,138,200,462,150,66,0,29,189,199,opel
99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188,200,opel
94,39,89,194,62,9,172,38,21,135,191,444,121,63,4,23,201,209,opel
104,55,105,216,68,11,205,32,23,169,221,623,216,71,9,18,189,196,opel
90,36,78,179,64,8,157,42,19,126,182,367,142,66,1,20,192,198,opel
90,39,86,169,62,7,162,41,20,131,194,388,147,74,1,22,185,191,opel
99,46,105,209,64,11,197,34,23,152,212,575,159,65,0,33,194,205,opel
88,44,71,145,56,8,142,48,19,143,159,296,174,68,7,18,188,197,opel
86,41,66,129,55,7,135,50,18,136,154,266,165,74,3,4,180,187,opel
88,40,69,146,59,7,130,51,18,134,147,252,144,64,1,1,193,200,opel
95,48,104,214,67,9,205,32,23,151,227,628,202,74,5,9,186,193,opel
88,38,77,156,56,7,163,41,20,129,184,395,140,67,1,9,192,198,opel
84,40,71,131,55,7,150,45,19,134,167,330,165,80,12,1,180,186,opel
95,43,76,142,57,10,151,44,19,149,173,339,159,71,2,23,187,200,van
88,42,64,151,62,8,130,51,18,142,150,253,161,63,3,2,203,210,van
89,47,84,133,55,11,157,44,20,160,169,354,176,74,5,9,182,192,van
90,43,81,231,97,46,150,45,19,149,200,332,164,91,5,9,186,196,van
90,47,85,149,60,10,155,43,19,155,179,355,186,75,1,5,185,196,van
85,36,66,123,55,5,120,56,17,128,140,212,131,73,1,18,186,190,van
85,39,57,126,56,6,114,58,17,135,134,195,145,64,17,7,197,202,van
83,40,53,114,53,6,132,53,18,140,142,247,157,86,8,7,176,183,van
90,41,62,147,60,6,128,52,18,141,149,246,157,61,13,4,201,208,van
94,42,68,150,64,7,128,52,18,143,154,246,159,69,14,5,192,196,van
93,44,90,166,65,10,153,44,19,156,170,348,143,66,9,17,194,203,van
91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,van
94,36,66,151,61,8,133,50,18,135,154,265,119,62,9,3,201,208,van
87,42,64,150,64,10,133,50,18,141,157,265,159,67,7,0,193,201,van
84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van
95,38,66,126,52,8,133,52,18,140,158,253,140,78,11,8,184,183,van
92,40,62,144,59,8,127,52,17,139,149,241,150,62,13,1,204,210,van
89,36,68,141,59,8,139,47,18,130,166,291,127,73,7,1,189,196,van
93,42,64,158,68,9,134,49,18,142,163,268,170,71,7,13,192,201,van
97,55,104,219,71,9,211,32,24,171,222,658,223,74,1,24,186,196,saab
90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192,197,bus
