@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191,199,saab
109,47,96,206,64,9,198,33,23,150,219,586,191,70,4,13,190,198,saab
96,40,100,178,58,8,181,37,21,134,205,486,160,68,5,34,192,202,saab
103,49,100,194,60,10,185,35,22,160,202,518,178,62,13,8,198,208,saab
106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188,197,saab
105,53,108,206,63,12,222,31,25,168,226,712,201,71,15,35,189,203,saab
98,38,78,191,65,8,169,39,20,136,197,430,141,67,9,20,192,199,saab
115,52,100,203,62,10,217,31,24,165,229,697,214,72,14,4,188,197,saab
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab
86,36,77,165,60,7,150,45,19,128,174,331,131,66,0,32,196,203,saab
79,38,55,120,55,5,142,48,19,128,153,295,145,81,4,2,180,183,saab
89,43,77,147,54,8,144,46,19,146,163,308,174,64,13,5,194,201,saab
85,40,75,137,56,7,152,44,19,134,173,339,160,76,7,16,182,187,saab
108,54,109,189,57,11,220,31,25,174,229,709,214,70,12,23,189,201,saab
98,47,109,202,59,11,199,34,23,154,207,586,165,61,1,33,194,208,saab
93,51,90,209,69,8,183,36,22,156,211,506,230,70,6,1,189,196,saab
102,51,104,217,67,10,204,32,23,162,220,621,195,68,3,19,188,197,saab
104,53,108,206,61,11,217,31,24,168,226,694,209,67,0,9,188,201,saab
100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198,207,saab
97,44,95,202,66,9,188,35,22,144,216,526,175,72,15,11,190,197,saab
83,37,54,131,61,4,135,50,18,127,152,271,141,85,3,6,180,183,saab
98,51,84,207,72,7,184,35,21,161,199,520,198,72,9,11,196,199,bus
84,42,76,156,64,7,151,44,19,143,179,339,157,75,0,20,187,193,bus
100,51,89,199,65,6,201,32,23,159,219,622,205,74,6,7,193,193,bus
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus
109,55,96,191,57,6,241,28,26,170,267,857,242,85,8,9,184,184,bus
87,42,76,159,65,5,155,42,19,138,184,362,157,76,6,12,189,193,bus
99,51,88,188,62,5,203,32,23,158,222,625,219,77,8,26,191,190,bus
101,42,62,175,67,6,149,43,19,139,169,341,165,65,7,11,202,209,bus
102,53,101,238,72,4,238,28,26,163,267,844,242,85,7,22,184,184,bus
83,41,70,155,65,7,144,46,19,141,168,309,147,71,4,12,188,195,bus
100,47,70,185,70,7,162,40,20,153,179,406,172,68,9,6,200,205,bus
