@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
86,40,62,140,62,7,150,45,19,133,165,330,173,82,2,3,180,185,saab
89,35,52,121,57,4,122,55,17,125,139,220,128,82,5,13,181,184,saab
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,saab
89,38,82,156,59,8,153,43,19,129,179,351,137,70,1,1,187,192,saab
107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188,197,saab
89,38,77,161,62,7,149,45,19,129,174,327,153,71,6,21,188,193,saab
99,43,89,195,63,8,186,35,22,144,210,521,166,68,6,13,191,199,saab
107,54,96,201,62,12,218,31,24,170,221,694,217,71,2,21,187,198,saab
101,55,108,228,69,12,215,31,24,168,229,684,214,71,2,16,188,199,saab
93,34,72,144,56,6,133,50,18,123,158,263,125,63,5,20,200,206,saab
93,37,76,183,63,8,164,40,20,134,191,405,139,67,4,7,192,197,saab
85,34,53,127,58,6,116,58,17,121,137,197,127,70,3,20,185,189,saab
91,39,72,133,55,7,146,46,19,132,170,314,149,77,9,18,184,189,saab
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab
104,49,105,209,61,11,207,32,24,157,217,637,168,64,0,19,193,207,saab
105,53,105,184,57,11,211,31,24,168,224,661,218,71,0,15,186,197,saab
101,48,85,191,60,11,175,38,21,153,192,458,187,62,5,22,197,210,saab
108,53,103,202,64,10,220,30,25,168,224,711,214,73,11,10,188,199,saab
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,saab
101,51,98,194,60,10,195,34,22,161,219,572,219,67,0,10,192,201,saab
84,38,83,141,54,7,149,45,19,132,177,327,149,74,6,29,185,191,saab
86,42,65,113,50,8,152,45,19,141,169,332,171,85,4,16,179,183,bus
93,37,73,174,68,7,151,43,19,131,175,347,135,68,1,22,196,205,bus
87,44,65,124,56,6,149,46,19,144,170,321,171,87,4,12,179,182,bus
88,39,70,166,66,7,148,44,19,134,167,332,143,69,5,13,193,201,bus
94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus
87,43,65,127,56,8,149,46,19,143,169,322,171,85,6,3,180,182,bus
98,49,84,219,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus
85,42,66,120,53,7,149,46,19,143,169,321,160,85,10,7,180,182,bus
100,41,75,205,71,5,176,36,21,138,204,479,151,72,7,19,197,197,bus
95,43,71,159,64,6,145,45,19,141,169,322,171,67,8,4,195,200,bus
96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199,203,bus
95,36,73,191,73,6,156,41,19,126,184,374,124,71,2,19,199,204,bus
80,43,68,120,54,8,150,45,19,145,171,329,176,85,4,8,179,183,bus
86,44,65,129,56,6,152,45,19,150,168,331,177,83,4,13,178,183,bus
86,42,64,122,54,6,148,46,19,143,170,319,171,87,1,3,179,182,bus
86,42,65,116,53,6,152,45,19,141,175,335,172,85,5,4,179,183,bus
96,43,82,161,55,5,186,34,22,141,215,534,162,75,0,6,195,196,bus
84,43,76,180,75,7,155,43,19,143,180,359,173,77,5,12,185,190,bus
96,46,70,194,70,6,167,39,20,148,183,427,171,69,17,10,200,203,bus
98,52,86,207,69,5,192,33,22,161,212,570,221,75,4,6,194,195,bus
97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus
106,53,98,203,63,11,220,30,25,167,228,710,214,71,10,24,188,197,opel
91,41,93,197,65,9,183,36,21,137,202,504,153,66,11,24,193,200,opel
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
104,52,96,188,59,9,188,35,22,161,206,530,205,67,11,8,193,200,opel
102,54,101,190,58,10,222,30,25,171,224,728,203,71,13,6,189,198,opel
100,49,96,206,63,9,186,35,22,156,202,519,176,62,3,5,197,205,opel
104,52,110,172,53,10,219,30,25,166,235,711,218,74,10,28,188,198,opel
105,56,98,209,64,11,217,31,24,173,225,696,216,72,2,19,188,199,opel
91,52,98,196,62,9,193,34,22,161,216,562,244,69,3,1,190,199,opel
73,37,53,111,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel
77,38,75,144,59,6,147,46,19,132,167,315,136,80,16,20,181,187,opel
86,36,66,128,57,8,131,52,18,127,148,252,139,76,5,27,183,187,opel
89,44,80,191,66,6,162,40,20,143,189,396,180,66,13,11,194,199,opel
102,51,108,193,57,10,212,31,24,162,219,663,184,66,7,21,191,201,opel
92,43,69,158,56,7,149,44,19,143,170,333,168,63,14,18,198,203,opel
107,52,103,186,57,11,214,31,24,162,217,676,189,66,6,5,189,198,opel
87,44,98,211,70,10,189,35,22,141,214,535,178,71,2,21,187,194,opel
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,opel
103,54,107,218,64,12,222,30,25,174,221,728,199,67,0,18,189,200,opel
83,39,69,127,54,5,135,49,18,131,155,274,162,69,16,6,187,190,opel
85,37,80,158,59,8,153,44,19,126,179,348,136,69,6,21,191,197,opel
93,36,64,165,69,8,136,49,18,136,161,279,127,67,2,29,193,204,van
94,37,72,146,60,9,133,50,18,135,161,262,128,69,2,7,192,195,van
93,36,63,139,57,8,132,50,18,136,158,260,121,67,3,27,193,201,van
94,47,85,333,138,49,155,43,19,155,320,354,187,135,12,9,188,196,van
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van
90,48,81,144,60,9,150,44,19,156,173,333,200,75,2,0,185,195,van
88,41,80,147,62,8,146,45,19,144,169,318,161,71,4,16,188,197,van
87,42,64,150,64,10,133,50,18,142,157,264,159,67,7,1,193,201,van
86,39,62,129,59,6,116,57,17,135,137,203,145,64,7,9,199,204,van
91,41,66,131,56,9,126,53,18,144,159,237,155,72,3,10,191,194,van
90,47,85,145,58,9,152,44,19,155,175,345,184,73,4,2,186,197,van
85,36,51,115,56,5,119,57,17,124,139,207,127,81,13,5,181,184,van
91,41,64,148,61,8,129,51,18,142,161,249,153,68,6,12,194,201,van
89,42,85,144,58,10,152,44,19,144,173,345,161,72,8,13,187,197,van
91,37,76,138,55,8,132,51,18,135,157,256,124,69,0,12,191,192,van
94,36,68,127,54,7,127,52,18,132,155,242,116,66,1,2,195,196,van
86,43,68,150,64,9,138,48,18,143,161,285,174,69,6,0,192,201,van
95,46,92,159,63,11,160,42,20,157,176,372,171,70,7,21,189,200,van
86,36,70,143,61,9,133,50,18,130,153,266,127,66,2,10,194,202,van
107,53,108,211,63,11,219,31,25,168,228,704,198,69,10,21,190,203,saab
98,46,88,191,63,6,192,34,22,147,215,563,174,73,2,26,194,197,bus
87,47,81,149,62,9,147,45,19,152,171,325,181,72,0,6,188,198,van
