@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,1
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,1
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,1
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,1
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,1
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,2
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,2
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,2
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,2
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,2
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,2
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,3
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,3
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,6
1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,7
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,7
