@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,1
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,1
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,1
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,1
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,1
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,1
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,2
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,2
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,2
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,2
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,2
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,2
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,2
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,3
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,3
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5
1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,5
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,6
1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,7
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,7
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,7
