@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,1
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,1
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,1
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,2
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,2
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,2
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,2
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,2
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,2
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,2
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,3
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,3
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,5
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,7
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,7
1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,7
