@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,1
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,1
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,1
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,2
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,2
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,2
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,2
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,2
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,3
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,5
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,6
1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,7
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,7
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,7
