@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,1
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,1
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,2
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,2
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,2
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,2
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,2
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,2
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,2
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,3
1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,5
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,6
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,7
1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,7
1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,7
