@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,1
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1
1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,2
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,2
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,2
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,2
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,2
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,2
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,3
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,3
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,5
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,6
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,7
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,7
1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,7
