@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,1
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,1
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,1
1.51818,13.72,0,0.56,74.45,0,10.99,0,0,2
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,2
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,2
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,2
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,2
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,2
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,2
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,2
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,3
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,5
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,5
1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,6
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,7
1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,7
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,7
