@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,1
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,1
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,1
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,1
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,1
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,2
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,2
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,2
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,2
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,2
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,2
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,2
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,3
1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,5
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,7
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,7
