@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,1
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,1
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,1
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,2
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,2
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,2
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,2
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,2
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,2
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,2
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,2
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,3
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,5
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,6
1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,7
1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,7
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,7
