@relation ionosphere
@attribute a01 real [0,1]
@attribute a02 real [0,0]
@attribute a03 real [-1,1]
@attribute a04 real [-1,1]
@attribute a05 real [-1,1]
@attribute a06 real [-1,1]
@attribute a07 real [-1,1]
@attribute a08 real [-1,1]
@attribute a09 real [-1,1]
@attribute a10 real [-1,1]
@attribute a11 real [-1,1]
@attribute a12 real [-1,1]
@attribute a13 real [-1,1]
@attribute a14 real [-1,1]
@attribute a15 real [-1,1]
@attribute a16 real [-1,1]
@attribute a17 real [-1,1]
@attribute a18 real [-1,1]
@attribute a19 real [-1,1]
@attribute a20 real [-1,1]
@attribute a21 real [-1,1]
@attribute a22 real [-1,1]
@attribute a23 real [-1,1]
@attribute a24 real [-1,1]
@attribute a25 real [-1,1]
@attribute a26 real [-1,1]
@attribute a27 real [-1,1]
@attribute a28 real [-1,1]
@attribute a29 real [-1,1]
@attribute a30 real [-1,1]
@attribute a31 real [-1,1]
@attribute a32 real [-1,1]
@attribute a33 real [-1,1]
@attribute a34 real [-1,1]
@attribute class {b,g}
@data
1,0,-0.64286,-1,1,0.82857,1,-1,1,-0.23393,1,0.96161,1,-0.37679,1,-1,1,0.13839,1,-1,1,-0.03393,-0.84286,1,0.5375,0.85714,1,1,1,-1,1,-1,1,-1,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,b
1,0,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,1,-1,1,-1,b
1,0,-0.67935,-1,-1,1,1,0.63317,0.03515,-1,-1,-1,1,1,0.88683,-1,-1,1,0.8384,1,1,-1,-1,-1,-0.18856,1,1,-1,-1,-1,-1,1,1,0.33611,b
1,0,1,1,-1,1,-1,-0.82456,0.34649,0.21053,0.46053,0.07018,0.22807,0.05702,0.35088,0.34649,0.72807,-0.03947,0.22807,0.5307,0,0,-0.29825,-0.16228,1,-0.66667,1,-1,1,-0.24561,0.35088,0.20175,0.82895,0.07895,b
1,0,1,-0.5421,1,-1,1,-1,1,0.36217,1,-0.41119,1,1,1,-1,1,-0.29354,1,-0.93599,1,1,1,1,1,-0.40888,1,-0.62745,1,-1,1,-1,1,-1,b
0,0,-1,-1,1,-1,-1,1,0,0,1,-1,1,-1,0,0,0,0,0,0,-1,1,1,-1,-1,1,1,1,0,0,1,0.5,0,0,b
1,0,0.25316,0.35949,0,0,-0.2962,-1,0,0,0.07595,-0.07342,0,0,0,0,0,0,0,0,0.00759,0.68101,-0.2,0.33671,-0.1038,0.35696,0.0557,-1,0,0,0.06329,-1,0,0,b
1,0,0.71253,-0.02595,0.41287,-0.23067,0.98019,-0.09473,0.99709,-0.10236,1,-0.10951,0.58965,1,0.83726,-1,0.8227,-0.17863,0.8076,-0.28257,-0.25914,0.9273,0.51933,0.05456,0.65493,-0.20392,0.93124,-0.41307,0.63811,-0.21901,0.86136,-0.87354,-0.23186,-1,b
1,0,0.28409,-0.31818,0,0,0.68182,-1,0.30682,0.95833,0.64394,0.06439,0.34848,-0.84848,0,0,0.59091,-0.35985,0.45076,-0.80682,0,0,0,0,0.24242,0.17803,1,-0.23864,0.06061,-0.48485,0.16288,-0.70076,0,0,b
