@relation 'ExamenFebreroDummy-weka.filters.unsupervised.attribute.Remove-R1,6'
@attribute Ejercicio-EC1 {7.9,10.0,NP,7.2,9.3,5.7,6.8,6.5,7.1,6.9,3.2,5.2,7.0,8.6,5.5,5.8,4.8,5.1,6.7,8.3,4.4,6.6,9.0,3.9,5.0,9.5,4.6}
@attribute Ejercicio-EC2 {NP,7.75,7.0,5.5,4.5,8.75,8.25,7.25,3.0,6.25,5.0,6.5,0.0,8.0,6.0,6.75,5.75,9.75,7.5,3.75,8.5,3.25,3.5,4.75,9.25,5.25,9.0,1.0,4.25,1.25,4.0,1.75}
@attribute Midterm {6.5,6.6,4.6,5.3,6.35,5.0,5.45,5.55,4.15,6.25,4.3,3.85,4.85,0.25,1.95,3.75,NP,3.1,6.9,2.3,6.0,3.7,6.2,1.8,7.6,3.6,2.95,6.65,5.6,2.6,5.7,3.3,6.15,1.9,7.05,7.1,4.35,8.0,4.25,8.55,3.5,2.75,1.3,4.5,7.0,7.8,4.2,7.45,4.1,1.2,1.1,2.0,4.8,5.9,7.2,3.8,2.05,3.25,3.55,5.4,8.1,7.5,3.4,7.85,8.7,1.0,5.75,4.0,5.85,3.0,6.95,3.65,8.45,5.35,6.7,2.55,2.5,3.95,7.35,2.25}
@attribute Ejercicio-EC3 {2.0,NP,10.0,4.0,7.0}
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {SUSPENDIDO,SUFICIENTE,BIEN,NOTABLE,EXCELENTE}
@data
7.2,6.0,3.6,2.0,0,0,0,0,0,SUSPENDIDO
6.5,6.25,2.75,NP,0,0,0,1,0,SUSPENDIDO
6.5,NP,4.3,NP,0,1,0,1,0,SUSPENDIDO
8.6,6.75,4.85,10.0,0,0,0,0,0,SUSPENDIDO
NP,NP,NP,NP,1,1,1,1,1,SUSPENDIDO
9.3,3.25,4.0,NP,0,0,0,1,1,SUSPENDIDO
7.9,NP,1.8,NP,0,1,0,1,0,SUSPENDIDO
6.5,6.25,0.25,2.0,0,0,0,0,1,SUSPENDIDO
NP,NP,NP,NP,1,1,1,1,1,SUSPENDIDO
6.6,4.75,5.4,7.0,0,0,0,0,0,SUFICIENTE
10.0,7.75,6.6,2.0,0,0,0,0,0,BIEN
9.3,6.25,7.1,2.0,0,0,0,0,0,BIEN
7.9,7.0,6.0,2.0,0,0,0,0,0,NOTABLE
9.3,NP,4.0,NP,0,1,0,1,0,NOTABLE
